CodeCIS;CodeCIP7;Libelle_presentation;Statut_administratif;Etat_commercialisation;date_commercialisation;codeCIP13;Agrément_collectivités ;Taux_remboursement;prix_min;Prix_max;difference_tarifiaire_entre_min_et_max
60019101;3202980;1 flacon(s) polyéthylène de 5  ml;Présentation active;Déclaration de commercialisation;19/02/1979;3400932029808;oui;30%;2,46;3,48;1,02
60019927;3487474;plaquette(s) thermoformée(s) PVC-Aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;25/05/1999;3400934874741;oui;65%;9,39;10,41;1,02
60021127;3496817;plaquette(s) thermoformée(s) PVC aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;13/03/2000;3400934968174;oui;65%;3,64;4,66;1,02
60021127;3738338;plaquette(s) thermoformée(s) PVC aluminium de 90 comprimé(s);Présentation active;Déclaration de commercialisation;06/10/2015;3400937383387;oui;65%;10,53;13,29;2,76
60021312;2165828;1 flacon(s) pressurisé(s) aluminium de 100 g;Présentation active;Déclaration de commercialisation;27/03/2013;3400921658286;oui;65%;9,46;10,48;1,02
60021928;3017344;plaquette(s) PVC polyéthylène PVDC aluminium de 30 gélule(s);Présentation active;Déclaration de commercialisation;03/02/2020;3400930173442;oui;30%;4,71;5,73;1,02
60022275;3589884;30 sachet(s) papier polyéthylène aluminium P-A-M-éthylène (SURLYN) de 1  dispositif(s);Présentation active;Déclaration de commercialisation;16/04/2003;3400935898845;oui;65%;11,90;12,92;1,02
60023270;3016779;1 flacon(s) compte-gouttes polyéthylène basse densité (PEBD) de 5 ml;Présentation active;Déclaration de commercialisation;02/12/2019;3400930167793;oui;65%;4,41;5,43;1,02
60026957;3682098;plaquette(s) PVC-Aluminium de 20 comprimé(s);Présentation active;Déclaration de commercialisation;24/11/2005;3400936820982;oui;65%;1,58;2,60;1,02
60026957;3701625;plaquette(s) PVC-Aluminium de 90 comprimé(s);Présentation active;Déclaration de commercialisation;14/03/2006;3400937016254;oui;65%;5,21;6,23;1,02
60026957;3875331;plaquette(s) PVC-Aluminium de 180 comprimé(s);Présentation active;Déclaration de commercialisation;25/11/2008;3400938753318;oui;65%;9,90;10,92;1,02
60027685;3009863;1 flacon(s) polyéthylène haute densité (PEHD) avec fermeture de sécurité enfant de 90 gélule(s);Présentation active;Déclaration de commercialisation;16/12/2017;3400930098639;oui;15%;515,44;516,46;1,02
60031071;3004343;28 plaquette(s) pelable(s) papier polytéréphtalate (PET) aluminium PVC-Aluminium polyamide de 1 comprimé(s);Présentation active;Déclaration de commercialisation;04/10/2016;3400930043431;oui;65%;17,42;18,44;1,02
60034085;2210871;4 seringue(s) préremplie(s) polypropylène jaune(brun) de 2 ml;Présentation active;Déclaration de commercialisation;17/12/2012;3400922108711;oui;65%;79,24;80,26;1,02
60034644;3102586;1 ampoule(s) en verre de 1 ml;Présentation active;Déclaration de commercialisation;19/01/1969;3400931025863;oui;65%;9,27;10,29;1,02
60034936;3841579;8 sachet(s)-dose(s) polytéréphtalate (PET) aluminium polyéthylène de 6 g;Présentation active;Déclaration de commercialisation;17/03/2009;3400938415797;oui;30%;4,40;5,42;1,02
60035714;3973097;1 seringue(s) préremplie(s) en verre de 0,5 ml avec aiguille(s);Présentation active;Déclaration de commercialisation;05/10/2012;3400939730974;oui;65%;749,06;750,08;1,02
60035924;4921553;1 flacon(s) en verre brun de 150 ml avec gobelet(s) doseur(s) polypropylène;Présentation active;Déclaration de commercialisation;26/08/2011;3400949215539;oui;15%;1,99;3,01;1,02
60037327;3101173;1 flacon(s) en verre de 10 ml;Présentation active;Déclaration de commercialisation;19/01/1949;3400931011736;oui;65%;30,03;31,05;1,02
60037380;3016677;plaquette(s) OPA : polyamide orienté aluminium PVC-Aluminium de 30 comprimés;Présentation active;Déclaration de commercialisation;27/08/2019;3400930166772;oui;65%;7,28;8,30;1,02
60037380;3016678;plaquette(s) OPA : polyamide orienté aluminium PVC-Aluminium de 90 comprimés;Présentation active;Déclaration de commercialisation;27/08/2019;3400930166789;oui;65%;20,51;23,27;2,76
60038468;2196792;plaquette(s) thermoformée(s) PVC (ACLAR RX) polytrifluorochloroéthylène aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;04/08/2015;3400921967920;oui;65%;9,17;10,19;1,02
60040469;3636684;30 récipient(s) unidose(s) polyéthylène de 0,4 ml;Présentation active;Déclaration de commercialisation;23/01/2006;3400936366848;oui;30%;2,92;3,94;1,02
60041560;4936394;plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;25/04/2014;3400949363940;oui;65%;6,89;7,91;1,02
60043077;3798286;plaquette(s) PVC PVDC aluminium de 50 comprimé(s);Présentation active;Déclaration de commercialisation;01/10/2007;3400937982863;oui;65%;14,22;15,24;1,02
60044784;4162610;plaquette(s) PVC-Aluminium de 60 comprimé(s);Présentation active;Déclaration de commercialisation;12/09/2011;3400941626104;oui;65%;15,21;16,23;1,02
60044987;2744986;120 plaquette(s) PVC polyéthylène PVDC aluminium de 1 comprimé(s);Présentation active;Déclaration de commercialisation;06/01/2014;3400927449864;oui;100%;145,37;146,39;1,02
60046529;3020391;1 flacon en verre de 200 mL avec bague d’inviolabilité avec gobelet doseur de 15 mL;Présentation active;Déclaration de commercialisation;29/03/2021;3400930203910;oui;30%;1,87;2,89;1,02
60047182;3615564;1 flacon(s) polyéthylène haute densité (PEHD) avec fermeture de sécurité enfant de 28  comprimé(s);Présentation active;Déclaration de commercialisation;04/09/2006;3400936155640;oui;65%;24,67;25,69;1,02
60047271;3438406;1 flacon(s) compte-gouttes polyéthylène de 2,5  ml;Présentation active;Déclaration de commercialisation;19/09/1997;3400934384066;oui;65%;5,36;6,38;1,02
60047271;3438412;3 flacon(s) compte-gouttes polyéthylène de 2,5  ml;Présentation active;Déclaration de commercialisation;04/06/2009;3400934384127;oui;65%;15,18;16,20;1,02
60048672;3833829;plaquette(s) thermoformée(s) PVC PVDC aluminium de 60 comprimé(s);Présentation active;Déclaration de commercialisation;26/12/2008;3400938338294;oui;30%;5,83;6,85;1,02
60049895;3733565;plaquette(s) aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;28/01/2008;3400937335652;oui;65%;3,75;4,77;1,02
60049895;3925833;plaquette(s) aluminium de 90 comprimé(s);Présentation active;Déclaration de commercialisation;16/11/2012;3400939258331;oui;65%;10,85;13,61;2,76
60051234;3618255;3 plaquette(s) PVC PVDC aluminium de 10 capsule(s);Présentation active;Déclaration de commercialisation;22/09/2003;3400936182554;oui;30%;16,58;17,60;1,02
60058008;3781819;plaquette(s) PVC PVDC de 30 comprimé(s);Présentation active;Déclaration de commercialisation;14/08/2007;3400937818193;oui;65%;12,95;13,97;1,02
60058008;3781831;plaquette(s) PVC PVDC de 90 comprimé(s);Présentation active;Déclaration de commercialisation;14/08/2007;3400937818315;oui;65%;36,66;39,42;2,76
60058378;3673828;plaquette(s) thermoformée(s) PVC-Aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;01/12/2005;3400936738287;oui;65%;3,64;4,66;1,02
60058378;3787503;plaquette(s) thermoformée(s) PVC-Aluminium de 90 comprimé(s);Présentation active;Déclaration de commercialisation;22/04/2021;3400937875035;oui;65%;10,53;13,29;2,76
60058517;3412625;1 flacon(s) polyéthylène haute densité (PEHD) de 50 comprimé(s) avec fermeture de sécurité enfant;Présentation active;Déclaration de commercialisation;19/11/1997;3400934126253;oui;30%;48,87;49,89;1,02
60058620;3014421;14 plaquettes aluminium de 8 comprimés (emballage multiple : 2 x 56);Présentation active;Déclaration de commercialisation;11/06/2019;3400930144213;oui;100%;4,642,35;4,643,37;1,02
60059081;3392940;plaquette(s) polyamide aluminium PVC-Aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;19/09/1996;3400933929404;oui;65%;5,40;6,42;1,02
60061171;4158809;film(s) thermosoudé(s) polyéthylène aluminium de 56 gélule(s);Présentation active;Déclaration de commercialisation;31/08/2012;3400941588099;oui;65%;5,97;6,99;1,02
60061602;3002284;84 plaquette(s) PVC-Aluminium de 1 gélule(s);Présentation active;Déclaration de commercialisation;12/02/2016;3400930022849;oui;65%;23,27;24,29;1,02
60061709;4900316;plaquette(s) polychlortrifluoroéthylène PVC-Aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;28/02/2020;3400949003167;oui;65%;14,49;15,51;1,02
60061709;4900317;plaquette(s) polychlortrifluoroéthylène PVC-Aluminium de 90 comprimé(s);Présentation active;Déclaration de commercialisation;23/03/2020;3400949003174;oui;65%;41,01;43,77;2,76
60065198;3897255;plaquette(s) PVC-Aluminium de 90 comprimé(s);Présentation active;Déclaration de commercialisation;25/02/2010;3400938972559;oui;65%;14,91;17,67;2,76
60065198;3908266;plaquette(s) PVC-Aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;25/02/2010;3400939082660;oui;65%;5,02;6,04;1,02
60067562;3244895;1 flacon(s) en verre de 150 ml avec fermeture de sécurité enfant avec mesurette(s) graduée(s) polypropylène;Présentation active;Déclaration de commercialisation;19/03/1983;3400932448951;oui;15%;4,22;5,24;1,02
60068002;3007484;28 plaquette(s) prédécoupées unitaires PVC PVDC aluminium de 1 comprimé(s);Présentation active;Déclaration de commercialisation;07/09/2018;3400930074848;oui;65%;5,15;6,17;1,02
60068002;3010512;flacon(s) polypropylène de 28 comprimé(s);Présentation active;Déclaration de commercialisation;18/09/2018;3400930105122;oui;65%;5,15;6,17;1,02
60068034;3015704;plaquette(s) aluminium PVC PVDC de 56 gélule(s);Présentation active;Déclaration de commercialisation;04/11/2020;3400930157046;oui;65%;5,08;6,10;1,02
60069339;2186109;28 sachet(s)-dose(s) kraft polyéthylène basse densité (PEBD) aluminium P-A-M-éthylène (SURLYN);Présentation active;Déclaration de commercialisation;04/03/2013;3400921861099;oui;65%;9,32;10,34;1,02
60070665;3815205;1 seringue(s) préremplie(s) en verre de 0,3 ml avec aiguille(s);Présentation active;Déclaration de commercialisation;01/09/2008;3400938152050;oui;65%;303,35;304,37;1,02
60071190;3788431;plaquette(s) PVC aluminium de 28 comprimé(s);Présentation active;Déclaration de commercialisation;13/08/2007;3400937884310;oui;65%;3,06;4,08;1,02
60071379;3424367;plaquette(s) PVC-Aluminium de 28 comprimé(s);Présentation active;Déclaration de commercialisation;19/06/1997;3400934243677;oui;65%;1,74;2,76;1,02
60071952;3797499;plaquette(s) aluminium de 28 comprimé(s);Présentation active;Déclaration de commercialisation;01/01/2011;3400937974998;oui;65%;6,25;7,27;1,02
60073608;2217933;plaquette(s) PVC PVDC aluminium de 14 comprimé(s);Présentation active;Déclaration de commercialisation;03/10/2012;3400922179339;oui;30%;2,10;3,12;1,02
60073608;2217962;plaquette(s) PVC PVDC aluminium de 28 comprimé(s);Présentation active;Déclaration de commercialisation;03/10/2012;3400922179629;oui;30%;3,85;4,87;1,02
60074432;4900057;plaquette(s) thermoformée(s) PVC-Aluminium de 180 gélule(s);Présentation active;Déclaration de commercialisation;09/03/2016;3400949000579;oui;30%;45,41;46,43;1,02
60074432;4900058;plaquette(s) thermoformée(s) PVC-Aluminium de 60 gélule(s);Présentation active;Déclaration de commercialisation;17/03/2016;3400949000586;oui;30%;15,25;16,27;1,02
60075192;3882348;plaquette(s) PVC polyéthylène PVDC aluminium de 30 gélule(s);Présentation active;Déclaration de commercialisation;09/12/2008;3400938823486;oui;65%;4,99;6,01;1,02
60075452;3003295;plaquette(s) PVC aluminium de 84 gélule(s);Présentation active;Déclaration de commercialisation;04/02/2016;3400930032954;oui;65%;16,28;17,30;1,02
60077574;3529706;plaquette(s) PVC-Aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;27/11/2000;3400935297068;oui;65%;5,02;6,04;1,02
60077574;3529712;plaquette(s) PVC-Aluminium de 90 comprimé(s);Présentation active;Déclaration de commercialisation;23/04/2009;3400935297129;oui;65%;14,17;16,93;2,76
60078078;2781059;1 plaquette(s) PVC PVDC aluminium de 1 comprimé(s);Présentation active;Déclaration de commercialisation;03/06/2016;3400927810596;oui;65%;2,48;3,50;1,02
60078765;3006450;plaquette(s) PVC PVDC aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;03/06/2019;3400930064504;oui;65%;23,60;24,62;1,02
60078765;3006452;plaquette(s) PVC PVDC aluminium de 60 comprimé(s);Présentation active;Déclaration de commercialisation;03/06/2019;3400930064528;oui;65%;46,79;47,81;1,02
60079721;4900087;plaquette(s) thermoformée(s) PVC-Aluminium de 60 gélule(s);Présentation active;Déclaration de commercialisation;08/11/2016;3400949000876;oui;30%;15,25;16,27;1,02
60080218;3588117;film(s) thermosoudé(s) PVC polyéthylène de 30 suppositoire(s);Présentation active;Déclaration de commercialisation;28/03/2002;3400935881175;oui;65%;16,67;17,69;1,02
60082062;3638401;28 seringue(s) préremplie(s) en verre de 1 ml;Présentation active;Déclaration de commercialisation;03/07/2017;3400936384019;non;65%;694,44;695,46;1,02
60084049;3359055;1 flacon(s) en verre - 1 flacon(s) en verre de 1  ml;Présentation active;Déclaration de commercialisation;19/05/1997;3400933590550;oui;65%;15,58;16,60;1,02
60091086;2194178;plaquette(s) PVC-Aluminium de 16 gélule(s);Présentation active;Déclaration de commercialisation;02/04/2013;3400921941784;oui;65%;1,07;2,09;1,02
60092590;3172463;plaquette(s) PVC-Aluminium de 50 comprimé(s);Présentation active;Déclaration de commercialisation;19/12/1974;3400931724636;oui;65%;7,92;8,94;1,02
60092811;4900384;1 flacon(s) en verre de 4 ml - 1 ampoule(s) en verre de 2 ml avec seringue(s) avec aiguille(s);Présentation active;Déclaration de commercialisation;28/05/2021;3400949003846;oui;100%;294,31;295,33;1,02
60093639;2745968;plaquette(s) PVC polychlortrifluoroéthylène aluminium de 28 comprimé(s);Présentation active;Déclaration de commercialisation;21/01/2014;3400927459689;oui;65%;23,52;24,54;1,02
60094125;3847197;plaquette(s) PVC polyéthylène PVDC aluminium de 28 gélule(s);Présentation active;Déclaration de commercialisation;19/02/2009;3400938471977;oui;65%;1,91;2,93;1,02
60095526;3867403;plaquette(s) aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;27/04/2009;3400938674033;oui;65%;3,64;4,66;1,02
60095526;3867432;plaquette(s) aluminium de 90 comprimé(s);Présentation active;Déclaration de commercialisation;17/03/2021;3400938674323;oui;65%;10,53;13,29;2,76
60097203;2665643;plaquette(s) polyamide aluminium PVC-Aluminium de 28 comprimé(s);Présentation active;Déclaration de commercialisation;10/07/2015;3400926656430;oui;65%;4,07;5,09;1,02
60097833;3261304;1 flacon(s) polyéthylène haute densité (PEHD) de 20 ml;Présentation active;Déclaration de commercialisation;19/05/1984;3400932613045;oui;65%;2,44;3,46;1,02
60099738;3606163;film(s) thermosoudé(s) aluminium polyéthylène de 16 comprimé(s);Présentation active;Déclaration de commercialisation;24/08/2010;3400936061637;oui;65%;4,73;5,75;1,02
60099738;3606186;film(s) thermosoudé(s) aluminium polyéthylène de 24 comprimé(s);Présentation active;Déclaration de commercialisation;24/08/2010;3400936061866;oui;65%;5,89;6,91;1,02
60100877;3290458;1 flacon(s) compte-gouttes polyéthylène de 3  ml;Présentation active;Déclaration de commercialisation;19/06/1987;3400932904587;oui;65%;3,87;4,89;1,02
60105162;3779248;plaquette(s) thermoformée(s) PVC-Aluminium de 90 comprimé(s);Présentation active;Déclaration de commercialisation;28/06/2007;3400937792486;oui;65%;26,86;27,88;1,02
60106862;3020769;plaquette(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;03/01/2022;3400930207697;non;65%;6,39;7,41;1,02
60106862;3020770;plaquette(s) PVC polyéthylène PVDC aluminium de 90 comprimé(s);Présentation active;Déclaration de commercialisation;03/01/2022;3400930207703;non;65%;19,04;20,06;1,02
60108518;3006896;plaquette(s) PVC PVDC aluminium de 14 gélule(s);Présentation active;Déclaration de commercialisation;11/09/2018;3400930068960;oui;65%;3,64;4,66;1,02
60108678;3749891;plaquette(s) PVC-Aluminium de 28 comprimé(s);Présentation active;Déclaration de commercialisation;08/08/2007;3400937498913;oui;65%;16,71;17,73;1,02
60110896;3011875;30 plaquette(s) thermoformée(s) aluminium de 1 comprimé(s)(dose unitaire);Présentation active;Déclaration de commercialisation;12/11/2019;3400930118757;oui;65%;155,22;156,24;1,02
60111197;3593124;plaquette(s) thermoformée(s) PVC-Aluminium de 35 comprimé(s);Présentation active;Déclaration de commercialisation;14/01/2005;3400935931245;oui;65%;29,59;30,61;1,02
60111813;3674532;plaquette(s) aluminium de 28 comprimé(s);Présentation active;Déclaration de commercialisation;12/12/2005;3400936745322;oui;65%;3,42;4,44;1,02
60113814;3014723;plaquette(s) formée(s) à froid OPA : polyamide orienté aluminium PVC-Aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;26/07/2021;3400930147238;oui;65%;4,36;5,38;1,02
60113814;3014725;plaquette(s) formée(s) à froid OPA : polyamide orienté aluminium PVC-Aluminium de 90 comprimé(s);Présentation active;Déclaration de commercialisation;27/07/2021;3400930147252;oui;65%;12,81;15,57;2,76
60116447;3747165;plaquette(s) thermoformée(s) PVC-Aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;06/07/2006;3400937471657;oui;65%;2,55;3,57;1,02
60116447;3747194;plaquette(s) thermoformée(s) PVC-Aluminium de 90 comprimé(s);Présentation active;Déclaration de commercialisation;05/08/2008;3400937471947;oui;65%;6,67;9,43;2,76
60116810;2680890;1 pilulier(s) polypropylène de 30 comprimé(s);Présentation active;Déclaration de commercialisation;12/05/2015;3400926808907;oui;65%;3,64;4,66;1,02
60116810;2680915;3 pilulier(s) polypropylène de 30 comprimé(s);Présentation active;Déclaration de commercialisation;12/05/2015;3400926809157;oui;65%;10,53;13,29;2,76
60118715;3025897;plaquette(s) PVC-Aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;19/06/1956;3400930258972;oui;65%;1,20;2,22;1,02
60120709;3790959;plaquette(s) PVC PVDC aluminium de 28 comprimé(s);Présentation active;Déclaration de commercialisation;04/03/2010;3400937909594;oui;65%;1,67;2,69;1,02
60122628;2231399;plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;13/05/2013;3400922313993;oui;65%;3,75;4,77;1,02
60122628;2231459;plaquette(s) thermoformée(s) PVC PVDC aluminium de 90 comprimé(s);Présentation active;Déclaration de commercialisation;13/05/2013;3400922314594;oui;65%;10,85;13,61;2,76
60122717;3008552;90 sachet(s) polytéréphtalate (PET) polyéthylène basse densité (PEBD) aluminium;Présentation active;Déclaration de commercialisation;29/05/2019;3400930085523;oui;65%;102,53;103,55;1,02
60123363;3920103;plaquette(s) PVC PVDC aluminium de 28 comprimé(s);Présentation active;Déclaration de commercialisation;20/09/2010;3400939201030;oui;30%;10,92;11,94;1,02
60124472;3021840;plaquette(s) aluminium OPA : polyamide orienté PVC-Aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;14/04/2021;3400930218402;oui;65%;6,42;7,44;1,02
60124472;3021841;plaquette(s) aluminium OPA : polyamide orienté PVC-Aluminium de 90 comprimé(s);Présentation active;Déclaration de commercialisation;14/04/2021;3400930218419;oui;65%;18,09;20,85;2,76
60124999;2245711;plaquette(s) aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;24/12/2014;3400922457116;oui;65%;7,93;8,95;1,02
60125777;3016419;plaquette(s) PVC-Aluminium de 25 comprimé(s);Présentation active;Déclaration de commercialisation;22/02/2021;3400930164198;oui;65%;8,94;9,96;1,02
60126594;2760382;28 plaquette(s) polyamide aluminium PVC de 1 comprimé(s);Présentation active;Déclaration de commercialisation;17/09/2015;3400927603822;oui;65%;17,42;18,44;1,02
60126982;3011083;plaquette(s) PVC PVDC aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;27/05/2020;3400930110836;oui;30%;7,48;8,50;1,02
60128339;3016539;plaquette(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;03/07/2019;3400930165393;oui;30%;7,48;8,50;1,02
60129665;3659573;plaquette(s) aluminium PVC PVDC de 30 comprimé(s);Présentation active;Déclaration de commercialisation;05/04/2006;3400936595736;oui;65%;1,99;3,01;1,02
60129957;3002036;1 stylo prérempli de 0,35 ml avec seringue(s) en verre avec aiguille(s) avec tampon(s) alcoolisé(s);Présentation active;Déclaration de commercialisation;26/10/2016;3400930020364;oui;65%;16,54;17,56;1,02
60130062;3812112;1 flacon(s) pressurisé(s) aluminium de 120 dose(s) avec valve(s) doseuse(s) avec inhalateur(s) en plastique polypropylène;Présentation active;Déclaration de commercialisation;31/03/2011;3400938121124;oui;65%;31,35;32,37;1,02
60131132;2788759;plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;19/04/2021;3400927887598;non;30%;22,39;23,41;1,02
60132330;3702381;1 flacon(s) en verre brun avec fermeture de sécurité enfant de 300 ml avec seringue(s) doseuse(s) de 10 ml;Présentation active;Déclaration de commercialisation;09/10/2006;3400937023818;oui;65%;53,52;54,54;1,02
60132330;3982759;1 flacon(s) en verre brun avec fermeture de sécurité enfant de 150 ml avec seringue(s) doseuse(s) de 3 ml;Présentation active;Déclaration de commercialisation;13/12/2010;3400939827599;oui;65%;26,97;27,99;1,02
60132330;3982765;1 flacon(s) en verre brun avec fermeture de sécurité enfant de 150 ml avec seringue(s) doseuse(s) de 1 ml;Présentation active;Déclaration de commercialisation;13/12/2010;3400939827650;oui;65%;26,97;27,99;1,02
60133432;4155805;plaquette(s) PVC-Aluminium de 12 comprimé(s);Présentation active;Déclaration de commercialisation;07/11/2011;3400941558054;oui;30%;1,71;2,73;1,02
60133973;3718620;plaquette(s) PVC polyéthylène PVDC aluminium de 30 gélule(s);Présentation active;Déclaration de commercialisation;23/07/2009;3400937186209;oui;30%;5,58;6,60;1,02
60135981;3592202;1 flacon(s) polyéthylène basse densité (PEBD) de 3  ml;Présentation active;Déclaration de commercialisation;22/04/2002;3400935922021;oui;65%;9,36;10,38;1,02
60135981;4950008;1 flacon(s) polyéthylène basse densité (PEBD) de 3 ml(Distributeur parallèle : Pharma Lab);Présentation active;Déclaration de commercialisation;22/02/2016;3400949500086;oui;65%;8,90;9,92;1,02
60136439;3002365;plaquette(s) aluminium de 28 comprimé(s);Présentation active;Déclaration de commercialisation;11/12/2015;3400930023655;oui;65%;17,42;18,44;1,02
60139563;2785117;plaquette(s) polyamide aluminium PVC-Aluminium de 14 comprimé(s);Présentation active;Déclaration de commercialisation;08/03/2017;3400927851179;oui;65%;2,58;3,60;1,02
60139563;2785146;plaquette(s) polyamide aluminium PVC-Aluminium de 28 comprimé(s);Présentation active;Déclaration de commercialisation;06/01/2017;3400927851469;oui;65%;4,81;5,83;1,02
60140882;3002699;plaquette(s) OPA : polyamide orienté aluminium PVC de 28 comprimé(s);Présentation active;Déclaration de commercialisation;13/04/2017;3400930026991;oui;65%;17,42;18,44;1,02
60141614;3017088;plaquettes transparentes PVC aluminium de 28 comprimés;Présentation active;Déclaration de commercialisation;25/04/2019;3400930170885;oui;65%;8,72;9,74;1,02
60143654;3011153;plaquette(s) aluminium OPA : polyamide orienté PVC de 30 comprimé(s);Présentation active;Déclaration de commercialisation;30/03/2020;3400930111536;oui;100%;850,02;851,04;1,02
60144464;2802011;plaquette(s) PVC polychlortrifluoroéthylène aluminium de 28 comprimé(s);Présentation active;Déclaration de commercialisation;29/12/2015;3400928020116;oui;65%;12,00;13,02;1,02
60145580;3941683;plaquette(s) PVC polyéthylène PVDC aluminium de 90 comprimé(s);Présentation active;Déclaration de commercialisation;12/08/2010;3400939416830;oui;65%;11,50;14,26;2,76
60145580;3946829;plaquette(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;13/09/2010;3400939468297;oui;65%;3,95;4,97;1,02
60148893;3022131;6 flacon(s) polyéthylène haute densité (PEHD) de 15 comprimé(s) (conditionnement multiple de 90 comprimés);Présentation active;Déclaration de commercialisation;02/07/2021;3400930221310;oui;65%;97,47;98,49;1,02
