Code_substance;nom_substance;dose_substance;nom_element_pharmaceutique;reference_dosage;nature_composant;num_liaison_SA_FT
216;SULINDAC;200,0 mg;comprimé;un comprimé;SA;1
217;MAGNÉSIUM (ASPARTATE DE) ET DE POTASSIUM;0,100 g;collyre;100 ml;SA;3
218;THYM;38,25 mg;gélule;une gélule;SA;5
224;AUBÉPINE (EXTRAIT D') (FLUIDE);2,50 g;sirop;100 g de sirop;SA;1
234;HAMAMÉLIS DE VIRGINIE (EXTRAIT D') (FLUIDE);0,984 g;pommade;100 g de pommade;SA;10
241;PASSIFLORE (EXTRAIT DE) (FLUIDE);10 g;solution;100 ml;SA;1
247;DROSERA ROTUNDIFOLIA POUR PRÉPARATIONS HOMÉOPATHIQUES;2,667 ml (2 DH);solution;30 mL de solution;SA;1
249;GENTIANA LUTEA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;un comprimé;SA;18
250;GRINDÉLIA (TEINTURE DE);0,80000 g;sirop;100 ml de sirop;SA;2
251;HAMAMELIS VIRGINIANA POUR PRÉPARATIONS HOMÉOPATHIQUES;3 mL (TM);solution;30 mL de solution;SA;1
252;HYDRASTIS CANADENSIS POUR PRÉPARATIONS HOMÉOPATHIQUES;3 mL (4 DH);solution;30 mL de solution;SA;2
258;NUX VOMICA POUR PRÉPARATIONS HOMÉOPATHIQUES;5 mg (4 DH);comprimé;un comprimé;SA;6
263;PASSIFLORA INCARNATA POUR PRÉPARATIONS HOMÉOPATHIQUES;1,5 g (3 DH);sirop;100 g;SA;5
264;CHLORHYDRATE DE TRIHEXYPHÉNIDYLE;2 mg;comprimé;un comprimé;SA;1
265;CHINA RUBRA POUR PRÉPARATIONS HOMÉOPATHIQUES;3 mL (4 DH);solution;30 mL de solution;SA;3
266;SAFRAN (TEINTURE DE);0,05  g;sirop;100 g de sirop;SA;11
267;VALERIANA OFFICINALIS POUR PRÉPARATIONS HOMÉOPATHIQUES;2 DH (3ml);solution;30 ml de solution buvable;SA;1
268;VANILLE (TEINTURE DE);0,12 g;sirop;100 g de sirop;SA;10
269;VIBURNUM PRUNIFOLIUM POUR PRÉPARATIONS HOMÉOPATHIQUES;4 CH;granuléss;un comprimé;SA;4
280;SULFATE D'AMIKACINE;66,75 mg;solution;une ampoule;SA;1
291;FÉNOPROFÈNE;300 mg;comprimé;un comprimé;FT;1
293;TOLNAFTATE;1,00 g;lotion;100 ml de lotion;SA;1
294;FLUMÉQUINE;0,40 g;comprimé;un comprimé;SA;1
297;ACÉTATE DE LYSINE;2,81 g;émulsion;1000 ml d'émulsion reconstituée;SA;9
304;SUCCINATE FERREUX;100,00 mg;comprimé;un comprimé;SA;1
312;CÉFALEXINE MONOHYDRATÉE;250 mg;poudre;une cuillère-mesure de 5 ml après reconstitution;SA;1
313;TRIAMTÉRÈNE;150 mg;comprimé;un comprimé;SA;2
323;TRICLOCARBAN;1 g;solution;100 g;SA;1
328;MÉSILATE DE BROMOCRIPTINE;2,87 mg;comprimé;un comprimé;SA;2
332;PODOPHYLLUM PELTATUM POUR PRÉPARATIONS HOMÉOPATHIQUES;250 mg (6 DH);solution;un récipient unidose de 1 mL;SA;3
336;LAURILSULFATE DE MYRTÉCAÏNE;2,50 mg;comprimé;un comprimé;SA;2
338;DICHLORHYDRATE DE TRIMÉTAZIDINE;35 mg;comprimé;un comprimé;SA;1
342;TRIMÉTHOPRIME;160 mg;comprimé;un comprimé;SA;1
345;ACIDE CHÉNODÉSOXYCHOLIQUE ;250 mg;gélule;une gélule;SA;1
346;POLY(ALCOOL VINYLIQUE);5,60 mg;collyre;un récipient unidose;SA;1
355;MALÉATE DE TRIMÉBUTINE;100,00 mg;comprimé;un comprimé;SA;1
356;TROMÉTAMOL;0,010 g;lyophilisat;une ampoule de lyophilisat;SA;2
357;TROMETAMOL (CITRATE DE);27,47 g;solution;100 ml;SA;2
358;TROPICAMIDE;0,500 g;collyre;100 ml;SA;1
359;CALCITONINE DE SAUMON;100 UI;solution;une ampoule de 1 ml;SA;1
360;MÉSILATE DE TRIMIPRAMINE;5,305 g;solution;100 ml;SA;1
361;TROXÉRUTINE;3,5000 g;poudre;un sachet de 7,25 g;SA;1
374;ÉRYTHROMYCINE (ÉTHYLSUCCINATE D');240 000 UI;granuléss;un sachet;SA;1
376;UROKINASE (MAMMIFERE/HUMAIN/URINE);100 000 U.I.;poudre;un flacon;SA;1
381;PHÉNYTOÏNE SODIQUE;50 mg;solution;1 mL de solution;FT;4
382;LÉVOTHYROXINE SODIQUE;0,2 mg;solution;une ampoule;SA;1
390;PÉNICILLAMINE;300 mg;comprimé;un comprimé;SA;1
393;CITRATE DE PENTOXYVÉRINE;0,15 g;sirop;100 ml;SA;1
414;BISMUTH (SOUS-SUCCINATE DE);40 mg;suppositoire;un suppositoire;SA;1
420;CAFÉINE;50,00 mg;comprimé;un comprimé;SA;3
428;CARBONATE DE CALCIUM;1250,00 mg;comprimé;un comprimé;SA;1
430;CHLORURE DE CALCIUM DIHYDRATÉ;0,2573 g;solution;1000 ml de solution prête à l'emploi;SA;2
431;PHOSPHATE TRICALCIQUE;3 g;poudre;100 g de poudre pour solution buvable;SA;7
432;GLUCONATE DE CALCIUM;4,03 g;solution;1000 ml;SA;23
436;CAMPHRE RACÉMIQUE;2,00 g;crème;100 g de crème;SA;2
440;CARMELLOSE SODIQUE;4,00 mg;collyre;un récipient unidose;SA;1
445;ACÉTATE DE BÉTAMÉTHASONE;3 mg;suspension;une ampoule de 1 ml;SA;1
459;CALCIUM ÉDÉTATE DE SODIUM;50 mg;solution;1 ml de solution injectable;SA;1
461;CLOBAZAM;10 mg;comprimé;un comprimé;SA;1
463;CLONAZÉPAM;0,25 g;solution;100 ml;SA;1
464;CLONIDINE (CHLORHYDRATE DE);0,1500 mg;solution;une ampoule;SA;1
467;CODÉINE;0,0800 g;solution;100 ml de solution buvable;SA;1
469;COLCHICINE;1 mg;comprimé;un comprimé;SA;3
471;CORTIVAZOL;3,75 mg;suspension;1,5 ml de suspension injectable;SA;1
473;CROMOGLICATE DE SODIUM;2 g;collyre;100 ml;SA;1
474;SULFATE DE CUIVRE PENTAHYDRATÉ;2,36 mg;compartiment glucose;500 ml;SA;25
477;CYSTÉINE;0,31 g;solution;1000 ml;SA;4
489;CHLORPROMAZINE (CHLORHYDRATE DE);27,85 mg;solution;une ampoule de 5 ml;SA;1
500;CAPROATE DE PREDNISOLONE;0,190 g;pommade;100 g de pommade;SA;1
509;OXALATE DE FER;200 mg;comprimé;un comprimé;SA;1
511;SULFATE FERREUX HEPTAHYDRATÉ;4,98 mg;compartiment glucose;500 ml;SA;39
512;ASCORBATE FERREUX;245 mg;gélule;une gélule;SA;1
515;FLAVODATE-DISODIQUE;200 mg;gélule;une gélule;SA;1
521;GAÏACOL;0,5000 g;solution;100 ml de solution buvable;SA;2
523;GÉLATINE ;3,0000 g;solution;100 ml de solution pour perfusion;FT;1
527;GLICLAZIDE;60 mg;comprimé;un comprimé;SA;1
529;GLUCOSE ANHYDRE;15 g;solution;100 ml de solution pour perfusion;FT;1
532;GLYCÉROL;0,690 g;suppositoire;un suppositoire;SA;1
533;CITRULLINE (MALATE DE);1,00 g;solution;une ampoule de 10 ml;SA;1
535;TRÉTINOÏNE;10 mg;capsule;une capsule;SA;1
536;PHOSPHATE MONOCALCIQUE MONOHYDRATÉ;0,200 g;solution;1 ampoule de 5 ml;SA;2
537;GLUTATHION;0,921 g;solution;1 litre de solution;SA;1
539;CALCIUM (HYDROGÉNOPHOSPHATE DE) ANHYDRE;111,62 mg de calcium;comprimé;un comprimé;SA;13
541;HESPÉRIDINE MÉTHYLCHALCONE;200 mg;comprimé;un comprimé;SA;2
544;HISTIDINE;0,65 g;solution;1000 ml;SA;7
545;ACÉTATE D'HYDROCORTISONE;0,250 g;crème;100 g de crème;SA;1
547;VALPROMIDE;300 mg;comprimé;un comprimé;SA;1
549;IODE;370 mg;solution;1 ml de solution;FT;1
550;ISOLEUCINE;0,95 g;solution;1000 ml;SA;8
555;LEUCINE;2,15 g;solution;1000 ml;SA;9
557;MÉDROXYPROGESTÉRONE (ACÉTATE DE);10 mg;comprimé bleu;un comprimé;SA;7
561;LORAZÉPAM;1 mg;comprimé;un comprimé;SA;1
563;LYSINE;1,700 g;solution;1000 ml;FT;10
568;LÉVOMENTHOL;0,50 g;crème;100 g de crème;SA;3
569;BUMÉTANIDE;50 mg;solution;100 ml;SA;1
571;DÉCANOATE DE FLUPENTIXOL;20 mg;solution;1 ml;SA;1
582;MITOMYCINE C;10 mg;poudre;un flacon;SA;1
585;CHLORHYDRATE DE MORPHINE;1 mg;solution;1 ml de solution injectable;SA;1
587;CIMÉTIDINE;800 mg;comprimé;un comprimé;SA;1
588;PROMESTRIÈNE;0,01000 g;capsule;une capsule;SA;1
589;MYRTÉCAÏNE;1,25 mg;comprimé;un comprimé;FT;2
594;FLURBIPROFÈNE;100 mg;comprimé;un comprimé;SA;1
597;PHOSPHATE SODIQUE DE RIBOFLAVINE DIHYDRATÉ;5,67 mg;poudre;1 flacon de 5 ml;SA;6
600;MICONAZOLE;2 g;gel;100 g;SA;1
602;CHLORHYDRATE DE MIANSÉRINE;30 mg;comprimé;un comprimé;SA;1
604;DISOPYRAMIDE (PHOSPHATE DE);161,08 mg;gélule;une gélule;SA;2
608;PHÉNOL;0,50 g;solution;100 ml;SA;1
609;TUBERCULINE PURIFIÉE;5 UI;solution;une dose de 0,1 ml;SA;1
610;PHÉNYLALANINE;0,83 g;solution;1000 ml;SA;12
614;PROPIONATE DE CLOBÉTASOL;500 microgrammes;mousse;1 g de mousse;SA;1
616;QUININE;245 mg;solution;1 ml;FT;1
617;SULFADIAZINE ARGENTIQUE;1 g;crème;100 g de crème;SA;3
618;CHLORHYDRATE DE QUININE;300 mg;solution;1 ml;SA;1
620;QUINIDINE;6,600 mg;solution;une ampoule de 2 ml;FT;2
622;RÉTINOL;1000 UI;comprimé;un comprimé;FT;15
626;SALBUTAMOL;100,00 microgrammes;suspension;une dose;FT;1
628;CHLORURE DE CÉTYLPYRIDINIUM;1,25 mg;comprimé;un comprimé;SA;1
629;SÉRINE;1,17 g;solution;1000 ml;SA;14
630;PIRIBÉDIL (MÉSILATE DE);3 mg;solution;une ampoule;SA;1
631;ACÉTATE DE SODIUM TRIHYDRATÉ;2,5 g;compartiment 1 : acides aminés et électrolytes;300 ml;SA;24
633;CITRATE MONOSODIQUE ANHYDRE;1,84500 g;granuléss;un sachet-dose;SA;3
637;BENZOATE DE SODIUM;2,040 g;solution;100 g;SA;1
640;SORBITOL;5 g;poudre;un sachet;SA;1
641;PIVALATE DE TIXOCORTOL;1 g;suspension;100 g de suspension;SA;1
645;SULFADOXINE;500,0 mg;comprimé;un comprimé;SA;1
651;TERPINE (HYDRATE DE);0,16 g;sirop;100 g de sirop;SA;8
655;THÉOPHYLLINE MONOHYDRATÉE;110 mg;comprimé;un comprimé;SA;1
658;THRÉONINE;1,11 g;solution;1000 ml;SA;16
659;THYMOL;2 mg;capsule;une capsule;SA;4
663;DIOXYDE DE TITANE;5,905 g;pommade;100 g de pommade;SA;3
670;TRIMÉBUTINE;0,7870 g;granuléss;100 g de granuléss pour suspension buvable;SA;1
674;TRYPTOPHANE L;0,57 g;compartiment 1 : acides aminés et électrolytes;300 ml;SA;17
675;VALINE;1,11 g;solution;1000 ml;SA;25
676;VASELINE;8 g;crème;100 g;SA;4
677;LEDUM PALUSTRE POUR PRÉPARATIONS HOMÉOPATHIQUES;1,5 g (TM);pommade;100 g de pommade;SA;2
678;WARFARINE SODIQUE;5 mg;comprimé;un comprimé;SA;1
682;MESNA;5000 mg;solution;un flacon;SA;1
688;ACIDE LACTIQUE;16,7 g;solution;100 g;SA;1
690;ACIDE SALICYLIQUE;16,7 g;solution;100 g;SA;2
702;STANNEUX (FLUORURE);4,0 mg;poudre;un flacon;SA;1
706;CLOTRIMAZOLE;500 mg;capsule;une capsule;SA;1
708;ACÉTATE DE CHLORHEXIDINE;2 mg;comprimé;un comprimé;SA;2
712;APROTININE ;500 000 UIK;solution;un flacon de 50 mL;SA;1
713;ÉTOPOSIDE;50 mg;capsule;une capsule molle;SA;1
726;CHLORHYDRATE DE MÉTOCLOPRAMIDE;10,50 mg;solution;une ampoule de 2 ml;SA;1
731;ALMITRINE (MÉSILATE D');0,015 g;lyophilisat;un flacon;SA;1
738;CHLORHYDRATE DE DOBUTAMINE;280 mg;solution;une ampoule;SA;1
742;ESTAZOLAM;2 mg;comprimé;un comprimé;SA;1
744;CINCHONIDINE;1,700 mg;solution;une ampoule de 2 ml;FT;4
746;MÉTHYLE (DIACÉTYLCYSTÉINATE DE);200 mg;comprimé;un comprimé;SA;1
751;VIRUS DE LA FIÈVRE JAUNE, SOUCHE 17D-204 (VIVANT, ATTÉNUÉ) ;pas moins de 1000 UI;poudre;une dose de 0,5 mL après reconstitution;SA;1
756;COLOPHANE;0,690 mg;dispositif n°7 PANEL 1;un dispositif;SA;23
760;CRÉOSOTE OFFICINALE;0,62 g;pommade;100 g;SA;2
762;ATÉNOLOL;50 mg;comprimé;un comprimé;SA;1
763;CUPRUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;6 DH 33%;poudre;1 ml de solution à diluer pour perfusion;SA;2
764;CUPRUM ACETICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;granuléss;un comprimé;SA;17
767;ACIDE CHOLIQUE;250 mg;gélule;une gélule;SA;1
768;TIOPRONINE;250 mg;comprimé;un comprimé;SA;1
769;DIOSMINE;600 mg;comprimé;un comprimé;SA;1
772;CÉFOXITINE SODIQUE;2,103 g;poudre;un flacon;SA;1
773;HYDROCORTISONE (BUTYRATE D');0,10 g;pommade;100 g;SA;1
783;CHLORHYDRATE DE TICLOPIDINE;250 mg;comprimé;un comprimé;SA;1
788;AMITRIPTYLINE (CHLORHYDRATE D');56,600 mg;comprimé;un comprimé;SA;1
801;SODIUM (NITROPRUSSIATE DE);50 mg;poudre;un flacon;SA;1
812;BACLOFÈNE;10,00 mg;comprimé;un comprimé;SA;1
817;DIFLUCORTOLONE (VALÉRATE DE);0,10 g;pommade;100 g de pommade;SA;1
819;INDAPAMIDE;0,625 mg;comprimé;un comprimé;SA;2
823;KÉTOPROFÈNE;2,5 g;gel;100 g de gel;SA;1
829;SUCCINATE DE LOXAPINE;34 mg;comprimé;un comprimé;SA;1
831;MANGANÈSE (SULFATE DE) MONOHYDRATÉ;0,306 mg;solution;une ampoule de 2 ml;SA;1
832;ISOCONAZOLE (NITRATE D');2 g;poudre;100 g;SA;1
836;DANTROLÈNE SODIQUE;0,100 g;gélule;une gélule;SA;1
837;CÉFAMANDOLE (NAFATE DE);879,50  mg;poudre;un flacon;SA;1
842;NIFÉDIPINE;10 mg;capsule;une capsule;SA;1
855;CITRATE DE POTASSIUM;847 mg;granuléss;un sachet;SA;1
857;VÉRATROLE;0,250 g;gel;100 g de gel;SA;3
859;PRAZOSINE (CHLORHYDRATE DE);6,03 mg;comprimé;un comprimé;SA;1
860;GRAPHITES POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;granuléss;un comprimé;SA;14
861;CHLORHYDRATE DE NALOXONE ANHYDRE;0,9 mg;solution;0,1 mL;FT;1
862;LACTOBACILLUS CASEI;1,5 g;poudre;un sachet-dose;SA;1
868;ALTRÉTAMINE;100 mg;gélule;une gélule;SA;1
872;AMOXICILLINE SODIQUE;1,063 g;poudre;un flacon;SA;1
873;CISPLATINE;1 mg;solution;1 ml de solution à diluer pour perfusion;SA;1
877;AMOXAPINE;50 mg;comprimé;un comprimé;SA;1
882;SULFATE DE VINDÉSINE;5 mg;poudre;un flacon;SA;1
883;FOIE DE POISSON (HUILE DE);20,000 g;pommade;100 g;SA;1
889;PEROXYDE DE BENZOYLE;10 g;gel;100 g de gel;SA;1
890;COCHLEARIA ARMORACIA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;1 g de gel;SA;17
891;POLYGALA (SIROP DE);79,2870 g;sirop;100 ml de sirop;SA;3
892;PHYTOLACCA DECANDRA POUR PRÉPARATIONS HOMÉOPATHIQUES;333,3 mg (5 CH);solution;un récipient unidose de 1 ml;SA;5
893;PLANTAGO MAJOR POUR PRÉPARATIONS HOMÉOPATHIQUES;250 mg (4 DH);solution;un récipient unidose de 1 mL;SA;4
899;BICARBONATE DE SODIUM;1,4 g;solution;100 ml;SA;1
900;BORAX;5 mg (4 DH);comprimé;un comprimé;SA;5
901;CHLORURE DE SODIUM;5,85 g;solution;100 ml;SA;1
905;SULFATE DE SODIUM ANHYDRE;7,5 g;poudre du sachet A;un sachet;SA;4
907;BROMAZÉPAM;1,5 mg;comprimé;un comprimé;SA;1
908;CANTHARIS POUR PRÉPARATIONS HOMÉOPATHIQUES;4CH à 30CH et 8DH à 60DH;comprimé;une capsule;SA;18
909;COCA (P P H) POUR PRÉPARATIONS HOMÉOPATHIQUES;4CH à 30CH et 8DH à 60DH;comprimé;un comprimé;SA;17
910;COLCHICUM AUTUMNALE POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;un comprimé;SA;18
911;CÉFUROXIME SODIQUE;52,6 mg;poudre;un flacon;SA;1
912;CLIDINIUM (BROMURE DE);2,5 mg;comprimé;un comprimé;SA;1
915;DILTIAZEM (CHLORHYDRATE DE);200 mg;gélule;une gélule;SA;1
917;PHOSPHATE DE CLINDAMYCINE;1,188 g;gel;100 g;SA;1
923;ALPHA-TOCOPHÉROL;4 mg;capsule;une capsule;SA;2
924;CHLORHYDRATE DE MEXILÉTINE;200 mg;gélule;une gélule;SA;1
927;XYLÈNE;5,00 g;solution;100 g de solution;SA;1
928;CHLORURE DE ZINC;2,50 mg;suspension;1 ml de suspension injectable I.M.;SA;3
929;OXYDE DE ZINC;5,00 g;pommade;100 g de pommade;SA;1
931;SULFATE DE ZINC;0,5 g;gel;100 ml de gel;SA;2
933;TARTRATE DE MÉTOPROLOL;50 mg;comprimé;un comprimé;SA;1
934;ÉTIFOXINE (CHLORHYDRATE D');0,050 g;gélule;une gélule;SA;1
935;PROPIONATE DE JOSAMYCINE;500 mg;granuléss;5 ml de suspension reconstituée;SA;1
941;JOSAMYCINE BASE;1000,00 mg;comprimé;un comprimé;FT;1
942;RUTINE (PH VIII);200 mg;comprimé;un comprimé;SA;6
943;DICHLORHYDRATE DE PICLOXYDINE;0,0500 g;collyre;100 ml;SA;2
945;DANAZOL;200 mg;gélule;une gélule;SA;1
946;LABÉTALOL (CHLORHYDRATE DE);100 mg;solution;une ampoule de 20 ml;SA;1
947;SULFASALAZINE;500 mg;comprimé;un comprimé;SA;1
949;SALICYLAMIDE;8,50 g;solution;100 ml de solution;SA;2
952;KETOTIFÈNE (FUMARATE DE);0,0276 g;solution;100 ml;SA;2
959;PHOSPHATE DISODIQUE D'ESTRAMUSTINE MONOHYDRATÉ;156,7 mg;gélule;une gélule;SA;1
960;SOMATROPINE ;1,20 mg;poudre;0,25 ml de solution reconstituée;SA;1
968;BÉTAHISTINE (MÉSILATE DE);12 mg;gélule;une gélule;SA;1
970;CHLORHYDRATE DE SOTALOL;80,00 mg;comprimé;un comprimé;SA;1
971;SOMATOSTATINE;3 mg;poudre;un flacon de poudre;SA;1
974;ORNIDAZOLE;500 mg;comprimé;un comprimé;SA;1
975;SPIRAMYCINE;3 M.U.I.;comprimé;un comprimé;SA;1
977;SPIRONOLACTONE;75,00 mg;comprimé;un comprimé;SA;1
979;CÉFACLOR;250 mg;poudre;une cuillère-mesure de 5 ml après reconstitution;SA;1
981;ACIDE URSODÉOXYCHOLIQUE;250 mg;gélule;une gélule;SA;1
982;CÉFOTAXIME SODIQUE;0,524 g;poudre;un flacon;SA;1
984;DOMPÉRIDONE;10 mg;comprimé;un comprimé;SA;1
987;ACÉTATE DE CYPROTÉRONE;100 mg;comprimé;un comprimé;SA;1
988;ALFACALCIDOL;1 microgrammes;capsule;une capsule;SA;1
991;FLUBENDAZOLE;100 mg;comprimé;un comprimé;SA;1
998;ACÉNOCOUMAROL;4 mg;comprimé;un comprimé;SA;1
1006;ACÉTAZOLAMIDE;500 mg;poudre;un flacon de poudre;SA;1
1014;ACÉTYLCYSTÉINE;5 g;solution;25 ml;SA;1
1021;GLYCINE;0,65 g;solution;1000 ml;SA;6
1023;ACIDE ASCORBIQUE;200 mg;poudre;un sachet;SA;3
1040;ACIDE FOLIQUE;0,414 mg;poudre;1 flacon de 5 ml;SA;9
1041;LOFLAZÉPATE D'ÉTHYLE;2 mg;comprimé;un comprimé;SA;1
1044;ACIDE GLUTAMIQUE;2,18 g;solution;1000 ml;SA;5
1056;ACIDE MÉFÉNAMIQUE;250,0 mg;gélule;une gélule;SA;1
1062;NIFLUMIQUE (ACIDE);2,5 g;gel;100 g;SA;1
1068;ACIDE TRANEXAMIQUE;500 mg;solution;une ampoule de 5 ml;SA;1
1080;ADRÉNALINE BASE;0,010 mg;solution;une cartouche de 1 ml;FT;3
1083;HYDROGÉNOPHOSPHATE DE CALCIUM DIHYDRATÉ;86,27 mg de phosphore;comprimé;un comprimé;SA;18
1090;ALIMÉMAZINE;0,0500 g;sirop;100 ml de sirop;FT;1
