CodeCIS;Denomination_medicament;Forme_pharmaceutique;Voie_administration;Type_procédure_AMM;Date_AMM ;Titulaire(s);Surveillance_renforcée
60010084;THIOPENTAL VUAB 500 mg, poudre pour solution injectable;poudre pour solution injectable;intraveineuse;Procédure nationale;28/11/2018; VUAB PHARMA;Non
60010166;CHLORURE DE SODIUM PROAMP 0,0585 g/ml (5,85%), solution à diluer pour perfusion;solution à diluer pour perfusion;intraveineuse;Procédure de reconnaissance mutuelle;02/09/2005; AGUETTANT;Non
60010885;CIPROFLOXACINE SUN 250 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure nationale;06/07/2007; SUN PHARMA FRANCE;Non
60014894;FAMENPAX, comprimé orodispersible;comprimé orodispersible;sublinguale;Procédure nationale;20/09/2012; LEHNING;Non
60015448;GELSEMIUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);05/01/2009; LEHNING;Non
60016308;CARVEDILOL MYLAN 25 mg, comprimé pelliculé sécable;comprimé sécable pelliculé;orale;Procédure nationale;13/02/2006; MYLAN SAS;Non
60018088;LYRICA 300 mg, gélule;gélule;orale;Procédure centralisée;06/07/2004; UPJOHN (PAYS-BAS);Non
60018444;ENTECAVIR TEVA 1 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure décentralisée;15/12/2017; TEVA SANTE;Non
60018896;PERINDOPRIL TOSILATE TEVA 10 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure décentralisée;13/08/2014; TEVA SANTE;Non
60019329;DOXYLAMINE CRISTERS 15 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;orale;Procédure nationale;22/12/2016; CRISTERS;Non
60019350;ARNIGEL, gel;gel;cutanée;Procédure nationale;18/01/2002; BOIRON;Non
60021771;FIBROVEIN 3 %, solution injectable;solution injectable;intraveineuse;Procédure décentralisée;13/12/2013; STD PHARMACEUTICAL (IRELAND) (IRLANDE);Non
60021928;SILODOSINE MYLAN 8 mg, gélule;gélule;orale;Procédure décentralisée;26/02/2019; MYLAN SAS;Non
60022275;EPINITRIL 5 mg/24 heures, dispositif transdermique;dispositif;transdermique;Procédure de reconnaissance mutuelle;21/05/2002; BOUCHARA-RECORDATI;Non
60023270;DORZOLAMIDE CRISTERS 20 mg/ml, collyre en solution;collyre en solution;ophtalmique;Procédure nationale;17/01/2019; CRISTERS;Non
60025054;ADEMPAS 1,5 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure centralisée;27/03/2014; BAYER AG (ALLEMAGNE);Non
60025314;MACROGOL 3350 MAYOLY SPINDLER 8,5 g, poudre pour solution buvable en sachet;poudre pour solution buvable;orale;Procédure décentralisée;19/06/2017; LABORATOIRES MAYOLY SPINDLER;Non
60025403;EFFERALGAN 1000 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure nationale;12/08/2004; UPSA;Non
60026494;KALOBA 20 mg, comprimé pelliculé;comprimé pelliculé;orale;Enreg phyto (Proc. Nat.);03/04/2015; WILLMAR SCHWABE;Non
60026957;GLIBENCLAMIDE TEVA 5 mg, comprimé sécable;comprimé sécable;orale;Procédure nationale;26/08/2005; TEVA SANTE;Non
60027685;ELMIRON 100 mg, gélule;gélule;orale;Procédure centralisée;02/06/2017; BENE - ARZNEIMITTEL (ALLEMAGNE);Non
60028495;DOLIRHUMEPRO PARACETAMOL, PSEUDOEPHEDRINE ET DOXYLAMINE, comprimé;comprimé ;orale;Procédure nationale;15/12/2005; OPELLA HEALTHCARE FRANCE;Non
60028680;CALCAREA IODATA WELEDA, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH;granulés et  poudre et  solution en gouttes en gouttes;orale,sublinguale;Enreg homéo (Proc. Nat.);14/02/2011; WELEDA;Non
60029394;TADALAFIL EG 10 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure décentralisée;04/07/2017; EG LABO - LABORATOIRES EUROGENERICS;Non
60030699;THERASOLV 100 000 UI, poudre pour solution injectable/pour perfusion;poudre pour solution injectable ou pour perfusion;intra-artérielle,intraveineuse,voie extracorporelle autre;Procédure de reconnaissance mutuelle;02/07/2019; THERADIAL;Non
60031071;ARIPIPRAZOLE SANDOZ 10 mg, comprimé orodispersible;comprimé orodispersible;orale;Procédure décentralisée;03/03/2016; SANDOZ;Non
60034085;BUCCOLAM 10 mg, solution buccale;solution;buccogingivale;Procédure centralisée;05/09/2011; LABORATORIOS LESVI (ESPAGNE);Non
60034936;KETOCONAZOLE BIOGARAN 2 %, gel en sachet-dose;gel;cutanée;Procédure nationale;14/02/2008; BIOGARAN;Non
60035461;LYSOPAÏNE MAUX DE GORGE AMBROXOL CITRON 20 mg SANS SUCRE, pastille édulcorée au sorbitol et au sucralose;pastille;voie buccale autre;Procédure décentralisée;21/06/2013; OPELLA HEALTHCARE FRANCE;Non
60035714;SIMPONI 50 mg, solution injectable en seringue préremplie;solution injectable;sous-cutanée;Procédure centralisée;01/10/2009; JANSSEN BIOLOGICS (PAYS-BAS);Non
60035924;OXOMEMAZINE MYLAN 0,33 mg/ml SANS SUCRE, solution buvable édulcorée à l'acésulfame potassique;solution buvable;orale;Procédure nationale;22/07/2010; MYLAN SAS;Non
60037380;AMLODIPINE/VALSARTAN KRKA 5 mg/160 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure décentralisée;27/11/2018; KRKA (SLOVENIE);Non
60038468;LAMOTRIGINE ARROW LAB 200 mg, comprimé dispersible ou à croquer;comprimé dispersible ou à croquer;orale;Procédure de reconnaissance mutuelle;09/02/2012; ARROW GENERIQUES;Non
60041165;GLONOINUM WELEDA, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH;granulés et  poudre et  solution en gouttes en gouttes;orale,sublinguale;Enreg homéo (Proc. Nat.);17/06/2009; WELEDA;Non
60041560;TRAMADOL CRISTERS LP 150 mg, comprimé pelliculé à libération prolongée;comprimé pelliculé à libération prolongée;orale;Procédure nationale;16/08/2010; CRISTERS;Non
60042395;CACTUS GRANDIFLORUS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);06/04/2011; LEHNING;Non
60043077;OXCARBAZEPINE MYLAN 300 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure décentralisée;23/04/2007; MYLAN SAS;Non
60044161;OCIMUM BASILICUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);11/05/2020; BOIRON;Non
60044784;LEVETIRACETAM MYLAN PHARMA 250 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure nationale;27/05/2011; MYLAN SAS;Non
60044841;TILLHEPO 250 mg, gélule;gélule;orale;Procédure décentralisée;28/05/2019; TILLOTTS PHARMA (ALLEMAGNE);Non
60044987;CAPECITABINE MYLAN 500 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure décentralisée;06/09/2013; MYLAN SAS;Non
60045217;ZIMINO 2,5 mg/ml, solution à diluer pour perfusion;solution à diluer pour perfusion;intraveineuse;Procédure décentralisée;20/10/2015; ORION CORPORATION;Non
60045288;W270;poudre;orale,sublinguale;Enreg homéo (Proc. Nat.);09/07/2020; WELEDA;Non
60046529;PHOLCODINE BIOGARAN 6,55 mg/5 mL, sirop;sirop;orale;Procédure nationale;23/04/2020; BIOGARAN;Non
60047182;CONCERTA LP 54 mg, comprimé à libération prolongée;comprimé à libération prolongée;orale;Procédure de reconnaissance mutuelle;28/03/2003; JANSSEN CILAG;Non
60047225;DARZALEX 1800 mg, solution injectable;solution injectable;sous-cutanée;Procédure centralisée;03/06/2020; JANSSEN CILAG INTERNATIONAL NV;Oui
60048672;BETAHISTINE TEVA 24 mg, comprimé;comprimé;orale;Procédure nationale;14/01/2008; TEVA SANTE;Non
60049895;RAMIPRIL ALMUS 10 mg, comprimé sécable;comprimé sécable;orale;Procédure nationale;08/02/2006; BIOGARAN;Non
60051024;ARUM TRIPHYLLUM COMPOSE BOIRON;granulés;orale,sublinguale;Enreg homéo (Proc. Nat.);07/08/2020; BOIRON;Non
60051234;AVODART 0,5 mg, capsule molle;capsule molle;orale;Procédure de reconnaissance mutuelle;27/03/2003; GLAXOSMITHKLINE;Non
60054376;DACARBAZINE LIPOMED 1000 mg, poudre pour solution pour perfusion;poudre pour solution injectable ou pour perfusion;intraveineuse;Procédure décentralisée;20/03/2018; LIPOMED (ALLEMAGNE);Non
60056815;DIOSMINE SUN 600 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure nationale;16/02/2001; SUN PHARMA FRANCE;Non
60058008;EXFORGE 10 mg/160 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure centralisée;17/01/2007; NOVARTIS EUROPHARM (IRLANDE);Non
60058620;LYNPARZA 150 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure centralisée;08/05/2018; ASTRAZENECA AB;Non
60061602;PREGABALINE TEVA SANTE 200 mg, gélule;gélule;orale;Procédure décentralisée;14/09/2015; TEVA SANTE;Non
60061709;INEGY 10 mg/20 mg, comprimé;comprimé;orale;Autorisation d'importation parallèle;30/04/2019; BB FARMA (ITALIE);Non
60063973;ARTERE BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);07/08/2020; BOIRON;Non
60064527;DAFLON 500 mg, comprimé pelliculé;comprimé pelliculé;orale;Autorisation d'importation parallèle;13/08/2015; DIFARMED (ESPAGNE);Non
60064872;GALANTAMINE ARROW LP 8 mg, gélule à libération prolongée;gélule à libération prolongée;orale;Procédure nationale;13/01/2012; ARROW GENERIQUES;Non
60065198;CELIPROLOL ZENTIVA 200 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure nationale;22/12/2008; ZENTIVA FRANCE;Non
60065294;PANTOPRAZOLE ZF 20 mg, comprimé gastro-résistant;comprimé gastro-résistant(e);orale;Procédure nationale;30/11/2012; ZYDUS FRANCE;Non
60068002;ESCITALOPRAM MYLAN 10 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;orale;Procédure décentralisée;22/11/2016; MYLAN SAS;Non
60068034;MILNACIPRAN EG 25 mg, gélule;gélule;orale;Procédure décentralisée;16/08/2018; DOUBLE-E PHARMA (IRLANDE);Non
60069307;NITISINONE DIPHARMA 20 mg, gélule;gélule;orale;Procédure décentralisée;04/06/2020; DIPHARMA (PAYS-BAS);Non
60069339;MONTELUKAST TEVA 4 mg, granulés;granulés;orale;Procédure décentralisée;11/01/2012; TEVA SANTE;Non
60070359;MYCOHYDRALIN 500 mg, capsule vaginale;capsule;vaginale;Procédure nationale;31/05/2018; BAYER HEALTHCARE;Non
60070665;MIRCERA 200 microgrammes/0,3 ml, solution injectable en seringue préremplie;solution injectable;intraveineuse,sous-cutanée;Procédure centralisée;20/07/2007; ROCHE REGISTRATION (ALLEMAGNE);Non
60071190;SIMVASTATINE SANDOZ 10 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;orale;Procédure de reconnaissance mutuelle;07/03/2007; SANDOZ;Non
60072050;THUYA OCCIDENTALIS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);15/07/2013; LEHNING;Non
60073608;LEVOCETIRIZINE KRKA 5 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure décentralisée;04/04/2012; KRKA (SLOVENIE);Non
60073914;IBUPROFENE BIOGARAN CONSEIL 400 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure nationale;10/07/2006; BIOGARAN;Non
60073960;INTRAROSA 6,5 mg, ovule;ovule;vaginale;Procédure centralisée;08/01/2018; ENDOCEUTICS (BELGIQUE);Oui
60074432;PERMIXON 160 mg, gélule;gélule;orale;Autorisation d'importation parallèle;07/09/2015; DIFARMED (ESPAGNE);Non
60074795;OCTAPLASLG, solution pour perfusion;solution pour perfusion;intraveineuse;Procédure de reconnaissance mutuelle;02/02/2016; OCTAPHARMA FRANCE;Non
60075192;VENLAFAXINE ARROW LP 37,5 mg, gélule à libération prolongée;gélule à libération prolongée;orale;Procédure nationale;08/10/2008; ARROW GENERIQUES;Non
60075452;PREGABALINE BIOGARAN 100 mg, gélule;gélule;orale;Procédure nationale;02/12/2015; BIOGARAN;Non
60077460;ASCLEPIAS TUBEROSA BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);13/08/2013; BOIRON;Non
60078078;LEVONORGESTREL EG 1,5 mg, comprimé;comprimé;orale;Procédure nationale;07/03/2014; EG LABO - LABORATOIRES EUROGENERICS;Non
60078765;QUETIAPINE ACCORD HEALTHCARE LP 400 mg, comprimé à libération prolongée;comprimé à libération prolongée;orale;Procédure nationale;04/08/2016; ACCORD HEALTHCARE FRANCE;Non
60079721;PERMIXON 160 mg, gélule;gélule;orale;Autorisation d'importation parallèle;12/04/2016; PHARMA LAB;Non
60080218;FIVASA 500 mg, suppositoire;suppositoire;rectale;Procédure nationale;06/08/2001; TILLOTTS PHARMA (ALLEMAGNE);Non
60082023;FERVEXRHUME, comprimé pelliculé;comprimé pelliculé;orale;Procédure de reconnaissance mutuelle;25/04/2018; UPSA;Non
60082062;COPAXONE 20 mg/ml, solution injectable en seringue préremplie;solution injectable;sous-cutanée;Procédure de reconnaissance mutuelle;03/07/2017; TEVA SANTE;Non
60082895;LAPIS ALBUS BOIRON, degré de dilution compris entre 3CH à 30CH et 5DH à 60 DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);04/08/2017; BOIRON;Non
60085553;AMBRISENTAN OHRE PHARMA 10 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure nationale;04/03/2020; OHRE PHARMA;Non
60088834;DENTINEA, solution buvable en récipient unidose;solution buvable;orale;Procédure nationale;23/12/2019; LG HOMEO;Non
60089217;ZALTRAP 25 mg/ml, solution à diluer pour perfusion;solution à diluer pour perfusion;intraveineuse;Procédure centralisée;01/02/2013; SANOFI-AVENTIS GROUPE;Oui
60091086;PARACETAMOL TEVA 500 mg, gélule;gélule;orale;Procédure nationale;03/01/2012; TEVA SANTE;Non
60092811;DECAPEPTYL L.P. 11,25 mg, poudre et solvant pour suspension injectable (IM ou SC) forme à libération prolongée sur 3 mois;poudre et  solvant pour suspension injectable à libération prolongée;intramusculaire,sous-cutanée;Autorisation d'importation parallèle;10/02/2020; BB FARMA (ITALIE);Non
60093639;ROPINIROLE BIOGARAN LP 8 mg, comprimé pelliculé à libération prolongée;comprimé pelliculé à libération prolongée;orale;Procédure nationale;26/07/2013; BIOGARAN;Non
60094125;TRANDOLAPRIL MYLAN 0,5 mg, gélule;gélule;orale;Procédure décentralisée;28/03/2008; MYLAN SAS;Non
60095095;IMODIUMLIQUICAPS 2 mg, capsule molle;capsule molle;orale;Procédure nationale;15/11/2011; JOHNSON & JOHNSON SANTE BEAUTE FRANCE;Non
60095526;FOSINOPRIL ZENTIVA 10 mg, comprimé sécable;comprimé sécable;orale;Procédure nationale;12/09/2008; ZENTIVA FRANCE;Non
60097203;PRAVASTATINE ARROW 10 mg, comprimé sécable;comprimé sécable;orale;Procédure décentralisée;18/12/2012; ARROW GENERIQUES;Non
60099738;AMOXICILLINE/ACIDE CLAVULANIQUE ALMUS 500 mg/62,5 mg ADULTES, comprimé pelliculé (rapport amoxicilline/acide clavulanique : 8/1);comprimé pelliculé;orale;Procédure nationale;07/11/2002; SANDOZ;Non
60101299;HEKLA LAVA BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH;granulés;orale,sublinguale;Enreg homéo (Proc. Nat.);12/11/2020; BOIRON;Non
60104893;QUERCUS, décocté WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; crème et solution et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);21/05/2019; WELEDA;Non
60105162;GABAPENTINE ZENTIVA 600 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure de reconnaissance mutuelle;12/12/2006; ZENTIVA FRANCE;Non
60105568;ROPIVACAINE ALTAN 10 mg/mL, solution injectable;solution injectable;infiltration,péridurale,périneurale;Procédure de reconnaissance mutuelle;16/01/2019; ALTAN PHARMA (IRLANDE);Non
60106606;REFACTO AF 250 UI, poudre et solvant pour solution injectable en seringue préremplie;poudre et  solvant pour solution injectable;intraveineuse;Procédure centralisée;24/10/2012; PFIZER EUROPE MA EEIG (BELGIQUE),PFIZER (GRANDE BRETAGNE);Non
60106848;DROSPIBEL 0,02 mg/3 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure décentralisée;16/12/2011; EFFIK;Non
60106862;APREXEVO 300 mg/5 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure décentralisée;14/05/2020; SANOFI AVENTIS FRANCE;Non
60108518;OXYCODONE SANDOZ 20 mg, gélule;gélule;orale;Procédure nationale;15/11/2016; SANDOZ;Non
60108678;TERBINAFINE BIOGARAN 250 mg, comprimé sécable;comprimé sécable;orale;Procédure nationale;05/04/2006; BIOGARAN;Non
60110896;ENTECAVIR ACCORD 0,5 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure centralisée;26/09/2017; ACCORD HEALTHCARE (ESPAGNE);Non
60111101;MAGNESIUM/VITAMINE B6 MYLAN 48 mg/5 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure nationale;16/07/2008; MYLAN SAS;Non
60111197;ACICLOVIR ARROW 800 mg, comprimé;comprimé;orale;Procédure nationale;09/07/2002; ARROW GENERIQUES;Non
60111471;TIORFAN 4 mg/mL nourrissons et enfants, suspension buvable;suspension buvable;orale;Procédure nationale;09/12/2019; BIOPROJET;Non
60111603;MEDULOSS WELEDA, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH; crème et solution et granules et poudre;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);28/05/2019; WELEDA;Non
60113814;ATORVASTATINE ZYDUS 80 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure nationale;22/05/2018; ZYDUS FRANCE;Non
60114485;PROGESTERONUM BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);13/05/2020; BOIRON;Non
60116447;GLIMEPIRIDE EG 1 mg, comprimé;comprimé;orale;Procédure de reconnaissance mutuelle;06/04/2006; EG LABO - LABORATOIRES EUROGENERICS;Non
60116810;PERINDOPRIL ARGININE/INDAPAMIDE BIOGARAN 2,5 mg/0,625 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure nationale;11/01/2013; BIOGARAN;Non
60117638;PULSATILLA LEHNING, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);01/07/2013; LEHNING;Non
60120666;DUAVIVE 0,45 mg/20 mg, comprimé à libération modifiée;comprimé à libération modifiée;orale;Procédure centralisée;16/12/2014; PFIZER EUROPE MA EEIG (BELGIQUE);Non
60121234;AMYLIUM NITROSUM BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);05/01/2009; BOIRON;Non
60122628;CANDESARTAN CRISTERS 8 mg, comprimé sécable;comprimé sécable;orale;Procédure nationale;18/05/2012; CRISTERS;Non
60122717;SEVELAMER CARBONATE SANDOZ 2,4 g, poudre pour suspension buvable;poudre pour suspension buvable;orale;Procédure décentralisée;06/12/2017; SANDOZ;Non
60123363;FINASTERIDE ACCORD 5 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure décentralisée;20/01/2009; ACCORD HEALTHCARE FRANCE;Non
60123598;HEPAR SULFUR (HEPAR SULFURIS CALCAREUM) BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);17/09/2019; BOIRON;Non
60124472;PERINDOPRIL TERT-BUTYLAMINE/AMLODIPINE ARROW 4 mg/10 mg, comprimé;comprimé;orale;Procédure décentralisée;20/11/2020; ARROW GENERIQUES;Non
60124999;CLOPIDOGREL ZF 75 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure nationale;24/07/2012; ZYDUS FRANCE;Non
60125332;UREE BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);08/03/2021; BOIRON;Non
60125777;CYAMEMAZINE MYLAN 100 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;orale;Procédure nationale;28/11/2018; MYLAN SAS;Non
60126377;ACICLOVIR MYLAN 5 %, crème;crème;cutanée;Procédure nationale;21/01/2003; MYLAN SAS;Non
60126594;OLANZAPINE MYLAN 5 mg, comprimé orodispersible;comprimé orodispersible;orale;Procédure décentralisée;25/03/2015; MYLAN SAS;Non
60126612;VIABORPAX, comprimé orodispersible;comprimé orodispersible;sublinguale;Procédure nationale;29/05/2017; LEHNING;Non
60126982;SOLIFENACINE ACCORD 5 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure décentralisée;01/08/2018; ACCORD HEALTHCARE FRANCE;Non
60128339;SOLIFENACINE CRISTERS 10 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure nationale;21/11/2018; CRISTERS;Non
60129957;METOJECT 17,5 mg/0,35 ml, solution injectable en stylo prérempli;solution injectable;sous-cutanée;Procédure décentralisée;14/09/2015; MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE (ALLEMAGNE);Non
60131132;XELEVIA 50 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure centralisée;21/03/2007; MERCK SHARP & DOHME (PAYS-BAS);Non
60131805;ROPIVACAÏNE KABI 2 mg/ml, solution injectable en ampoule;solution injectable;infiltration,péridurale,périneurale;Procédure décentralisée;22/11/2010; FRESENIUS KABI FRANCE;Non
60132330;KEPPRA 100 mg/ml, solution buvable;solution buvable;orale;Procédure centralisée;03/03/2003; UCB PHARMA BELGIQUE;Non
60132654;RANUNCULUS SCELERATUS BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);06/04/2020; BOIRON;Non
60133432;TUSSIDANE 30 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;orale;Procédure nationale;04/04/2011; ELERTE;Non
60133973;TAMSULOSINE ZYDUS FRANCE LP 0,4 mg, gélule à libération prolongée;gélule à libération prolongée;orale;Procédure de reconnaissance mutuelle;16/01/2006; ZYDUS FRANCE;Non
60135981;LUMIGAN 0,3 mg/ml, collyre en solution;collyre en solution;ophtalmique;Procédure centralisée;08/03/2002; ALLERGAN PHARMACEUTICALS IRELAND (IRLANDE);Non
60136275;GOSSYPIUM HERBACEUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);17/01/2020; BOIRON;Non
60136439;ARIPIPRAZOLE SANDOZ 15 mg, comprimé;comprimé;orale;Procédure centralisée;20/08/2015; SANDOZ (AUTRICHE);Non
60139257;RACECADOTRIL BIOGARAN CONSEIL 100 mg, gélule;gélule;orale;Procédure nationale;23/04/2015; BIOGARAN;Non
60139563;ESCITALOPRAM ZENTIVA 5 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure décentralisée;09/04/2014; ZENTIVA FRANCE;Non
60140010;CASPOFUNGINE OHRE PHARMA 50 mg, poudre pour solution à diluer pour perfusion;poudre pour solution à diluer pour perfusion;intraveineuse;Procédure décentralisée;16/03/2017; OHRE PHARMA;Non
60140882;ARIPIPRAZOLE TEVA 10 mg, comprimé orodispersible;comprimé orodispersible;orale;Procédure décentralisée;14/02/2017; TEVA SANTE;Non
60141614;FÉBUXOSTAT ARROW 120 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure décentralisée;24/01/2019; ARROW GENERIQUES;Non
60143654;ERLOTINIB BIOGARAN 150 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure décentralisée;02/05/2018; BIOGARAN;Non
60144464;ROPINIROLE ARROW LP 4 mg, comprimé pelliculé à libération prolongée;comprimé pelliculé à libération prolongée;orale;Procédure décentralisée;04/02/2015; ARROW GENERIQUES;Non
60145580;SIMVASTATINE ZYDUS FRANCE 20 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;orale;Procédure nationale;04/05/2009; ZYDUS FRANCE;Non
60148167;MOZOBIL 20 mg/ml, solution pour injection;solution injectable;sous-cutanée;Procédure centralisée;31/07/2009; GENZYME EUROPE (PAYS BAS);Non
60148893;LANTHANE MYLAN 1000 mg, comprimé à croquer;comprimé à croquer;orale;Procédure décentralisée;08/01/2021; MYLAN SAS;Non
60149276;EPHEDRINE AGUETTANT 3 mg/ml, solution injectable en seringue préremplie;solution injectable;intraveineuse;Procédure nationale;28/07/2003; AGUETTANT;Non
