Id_grp_generique;libelle_gp_gen;type_generique;num_tri
98;LISINOPRIL DIHYDRATE équivalant à LISINOPRIL 5 mg - PRINIVIL 5 mg, comprimé - ZESTRIL 5 mg, comprimé sécable.;1;7
99;LISINOPRIL DIHYDRATE équivalant à LISINOPRIL 20 mg - PRINIVIL 20 mg, comprimé - ZESTRIL 20 mg, comprimé.;1;4
100;QUINAPRIL (CHLOHRYDRATE DE) équivalant à QUINAPRIL 20 mg - ACUITEL 20 mg, comprimé enrobé sécable - KOREC 20 mg, comprimé enrobé sécable.;0;2
101;CAPTOPRIL 50 mg + HYDROCHLOROTHIAZIDE 25 mg - ECAZIDE, comprimé sécable - CAPTEA, comprimé sécable.;1;3
102;SIMVASTATINE 20 mg - ZOCOR 20 mg, comprimé pelliculé sécable - LODALES 20 mg, comprimé pelliculé.;1;23
103;SIMVASTATINE 40 mg - ZOCOR 40 mg, comprimé pelliculé - LODALES 40 mg, comprimé pelliculé.;1;4
104;FENOFIBRATE 100 mg - FENOX 100 mg, gélule;1;6
105;FENOFIBRATE 300 mg - FENOX 300 mg, gélule;1;6
106;FENOFIBRATE 67 mg - LIPANTHYL 67 micronisé, gélule;1;2
107;FENOFIBRATE 200 mg - LIPANTHYL 200 micronisé, gélule;1;10
108;CIPROFIBRATE 100 mg - LIPANOR 100 mg, gélule;1;4
109;ECONAZOLE (NITRATE D') 1 % - PEVARYL 1 POUR CENT, crème.;0;1
110;ECONAZOLE (NITRATE D') 1 % - PEVARYL 1 POUR CENT, émulsion fluide pour application locale.;1;5
111;ECONAZOLE (NITRATE D') 1 % - PEVARYL 1 POUR CENT, poudre pour application locale en flacon poudreur.;1;9
112;ECONAZOLE (NITRATE D') 1 % - PEVARYL 1 POUR CENT, solution pour application locale en flacon pulvérisateur.;0;1
113;ACICLOVIR 5 % - ZOVIRAX 5 %, crème - ACTIVIR 5 POUR CENT, crème;1;8
115;ISOTRETINOÏNE 5 mg - ROACCUTANE 5 mg, capsule molle;0;1
116;ISOTRETINOÏNE 10 mg - ROACCUTANE 10 mg, capsule molle;1;4
117;ISOTRETINOÏNE 20 mg - ROACCUTANE 20 mg, capsule molle;1;4
119;LEVONORGESTREL 0,15 mg + ETHINYLESTRADIOL 0,03 mg - MINIDRIL, comprimé enrobé;1;2
120;DESOGESTREL 150 microgrammes + ETHINYLESTRADIOL 30 microgrammes - VARNOLINE, comprimé;1;3
121;DESOGESTREL 150 microgrammes + ETHINYLESTRADIOL 20 microgrammes - MERCILON, comprimé;1;5
122;LEVONORGESTREL 0,050 mg, 0,075 mg, 0,125 mg + ETHINYLESTRADIOL 0,030 mg, 0,040 mg, 0,030 mg - TRINORDIOL, comprimé enrobé;1;4
123;PROGESTERONE 100 mg - UTROGESTAN 100 mg, capsule molle orale ou vaginale;0;1
124;PROGESTERONE 200 mg - UTROGESTAN 200 mg, capsule molle orale ou vaginale;1;2
125;NOMEGESTROL (ACETATE DE) 5 mg - LUTENYL, comprimé sécable;1;4
127;CHLORMADINONE (ACETATE DE) 5 mg - LUTERAN 5 mg, comprimé;0;1
128;CHLORMADINONE (ACETATE DE) 10 mg - LUTERAN 10 mg, comprimé;1;4
129;CYPROTERONE (ACETATE DE) 50 mg - ANDROCUR 50 mg, comprimé sécable.;1;4
130;CYPROTERONE (ACETATE DE) 2 mg + ETHINYLESTRADIOL 0,035 mg - DIANE 35 microgrammes, comprimé enrobé;1;3
131;OXYBUTYNINE (CHLORHYDRATE D’) 5 mg - DITROPAN 5 mg, comprimé sécable;1;6
133;TERAZOSINE (CHLORHYDRATE DE) équivalant à TERAZOSINE 5 mg - DYSALFA 5 mg, comprimé - HYTRINE 5 mg, comprimé.;1;3
134;PREDNISOLONE (METASULFOBENZOATE SODIQUE DE) équivalant à PREDNISOLONE 5 mg - SOLUPRED 5 mg, comprimé effervescent.;0;1
135;PREDNISOLONE (METASULFOBENZOATE SODIQUE DE) équivalant à PREDNISOLONE 20 mg - SOLUPRED 20 mg, comprimé effervescent.;1;2
136;PREDNISONE 5 mg - CORTANCYL 5 mg, comprimé sécable.;0;1
137;PREDNISONE 20 mg - CORTANCYL 20 mg, comprimé sécable;1;5
138;CALCITONINE (SALMINE SYNTHETIQUE) 50 UI/1 ml - MIACALCIC 50 UI/1 ml, solution injectable ou pour perfusion.;1;4
140;DOXYCYCLINE 100 mg - VIBRAMYCINE N 100 mg, comprimé sécable.;1;5
141;DOXYCYCLINE (HYCLATE DE) équivalant à DOXYCYCLINE 100 mg - VIBRAMYCINE 100 mg, gélule..;1;1
142;MINOCYCLINE (CHLORHYDRATE DE) équivalant à MINOCYCLINE 50 mg - MYNOCINE 50 mg, gélule;0;1
143;MINOCYCLINE (CHLORHYDRATE DE) équivalant à MINOCYCLINE 100 mg - MYNOCINE 100 mg, gélule.;0;1
144;MINOCYCLINE (CHLORHYDRATE DE) équivalant à MINOCYCLINE 100 mg - MESTACINE 100 mg, comprimé pelliculé sécable.;1;2
145;AMOXICILLINE 125 mg/5 ml - CLAMOXYL 125 mg/5 ml, poudre pour suspension buvable.;1;3
146;AMOXICILLINE 250 mg/5 ml - CLAMOXYL 250 mg/5 ml, poudre pour suspension buvable.;1;4
147;AMOXICILLINE 500 mg/5 ml - CLAMOXYL 500 mg/5 ml, poudre pour suspension buvable.;1;17
148;AMOXICILLINE 500 mg - CLAMOXYL 500 mg, gélule;1;15
149;AMOXICILLINE 1 g - CLAMOXYL 1 g, poudre pour suspension buvable en sachet;1;2
150;AMOXICILLINE 1 g - CLAMOXYL 1 g, comprimé dispersible;1;14
156;AMOXICILLINE + CLAVULANATE DE POTASSIUM équivalant à AMOXICILLINE + ACIDE CLAVULANIQUE 100 mg + 12,5 mg par ml NOURRISSONS (Rapport amoxicilline/acide clavulanique : 8/1) - AUGMENTIN 100 mg/12,50 mg par ml NOURRISSONS, poudre pour suspension buvable (Rapport amoxicilline/acide clavulanique : 8/1) - CIBLOR 100 mg/12,50 mg par ml NOURRISSONS, poudre pour suspension buvable (Rapport amoxicilline/acide clavulanique : 8/1).;1;7
157;AMOXICILLINE + CLAVULANATE DE POTASSIUM équivalant à AMOXICILLINE + ACIDE CLAVULANIQUE 100 mg + 12,5 mg par ml ENFANTS (Rapport amoxicilline/acide clavulanique : 8/1) - AUGMENTIN 100 mg/12,50 mg par ml ENFANTS, poudre pour suspension buvable en flacon (Rapport amoxicilline/acide clavulanique : 8/1) - CIBLOR 100 mg/12,50 mg par ml ENFANTS, poudre pour suspension buvable en flacon (Rapport amoxicilline/acide clavulanique : 8/1).;1;5
158;AMOXICILLINE + CLAVULANATE DE POTASSIUM équivalant à AMOXICILLINE + ACIDE CLAVULANIQUE 500 mg +  62,5 mg ADULTES (Rapport amoxicilline/acide clavulanique : 8/1) - AUGMENTIN 500 mg/62,5 mg ADULTES, comprimé pelliculé (rapport amoxicilline/acide clavulanique : 8/1) - CIBLOR 500 mg/62,5 mg ADULTES, comprimé pelliculé (rapport amoxicilline/acide clavulanique : 8/1).;1;4
159;AMOXICILLINE + CLAVULANATE DE POTASSIUM équivalant à AMOXICILLINE + ACIDE CLAVULANIQUE 1 g + 125 mg ADULTES (Rapport amoxicilline/acide clavulanique : 8/1) - AUGMENTIN 1 g/125 mg ADULTES, poudre pour suspension buvable en sachet-dose (Rapport amoxicilline/acide clavulanique : 8/1) - CIBLOR 1 g/125 mg ADULTE, poudre pour suspension buvable en sachet-dose (Rapport amoxicilline/acide clavulanique : 8/1).;1;15
163;CEFUROXIME AXETIL équivalant à CEFUROXIME 125 mg - ZINNAT 125 mg, comprimé pelliculé.;0;1
164;CEFUROXIME AXETIL équivalant à CEFUROXIME 250 mg - ZINNAT 250 mg, comprimé pelliculé.;1;3
165;CEFUROXIME AXETIL équivalant à CEFUROXIME 500 mg - ZINNAT 500 mg, comprimé pelliculé.;1;9
168;CEFACLOR 250 mg/5 ml - ALFATIL 250 mg/5 ml, poudre pour suspension buvable;0;1
169;CEFADROXIL 125 mg/5 ml - ORACEFAL 125 mg/5 ml, poudre pour suspension buvable;0;1
170;CEFADROXIL 250 mg/5 ml - ORACEFAL 250 mg/5 ml, poudre pour suspension buvable;1;2
171;CEFADROXIL 500 mg/5 ml - ORACEFAL 500 mg/5 ml, poudre pour suspension buvable;1;2
172;CEFADROXIL 500 mg - ORACEFAL 500 mg, gélule;1;2
173;CEFADROXIL 1g - ORACEFAL 1 g, comprimé dispersible;0;1
174;CEFTRIAXONE (SODIQUE) équivalant à CEFTRIAXONE 500 mg/ 2 ml - ROCEPHINE 500 mg/2 ml, poudre et solvant  pour solution injectable (IM).;1;4
175;CEFTRIAXONE (SODIQUE) équivalant à CEFTRIAXONE 1 g/3,5 ml - ROCEPHINE 1 g/3,5 ml, poudre et solvant  pour solution injectable (IM).;1;7
176;CEFTRIAXONE (SODIQUE) équivalant à CEFTRIAXONE 500 mg/5 ml - ROCEPHINE 500 mg/5 ml, poudre et solvant pour solution injectable (IV).;1;2
177;CEFTRIAXONE (SODIQUE) équivalant à CEFTRIAXONE 1 g/10 ml - ROCEPHINE 1 g/10 ml, poudre et solvant pour solution injectable (IV);1;11
179;CEFRADINE 500 mg - KELSEF 500 mg, gélule;1;2
180;SULFAMETHOXAZOLE 800 mg + TRIMETHOPRIME 160 mg - BACTRIM FORTE, comprimé;0;1
181;ERYTHROMYCINE (ETHYLSUCCINATE) équivalant à ERYTHROMYCINE 250 mg - ERYTHROCINE 250 mg, poudre orale en sachet.;1;1
184;ERYTHROMYCINE PROPIONATE équivalant à ERYTHROMYCINE 500 mg - PROPIOCINE 500 mg, comprimé.;1;2
185;ROXITHROMYCINE 100 mg - CLARAMID ENFANTS 100 mg, comprimé pelliculé - RULID 100 mg, comprimé pelliculé;0;2
186;ROXITHROMYCINE 150 mg - CLARAMID 150 mg, comprimé pelliculé - RULID 150 mg, comprimé enrobé;1;7
187;OFLOXACINE 200 mg - OFLOCET 200 mg, comprimé pelliculé sécable.;1;4
188;CIPROFLOXACINE (CHLORHYDRATE DE) équivalant à CIPROFLOXACINE 250 mg - CIFLOX 250 mg, comprimé pelliculé sécable.;1;8
189;CIPROFLOXACINE (CHLORHYDRATE DE) équivalant à CIPROFLOXACINE 500 mg - CIFLOX 500 mg, comprimé pelliculé sécable.;2;14
190;CIPROFLOXACINE (CHLORHYDRATE DE) équivalant à CIPROFLOXACINE 750 mg - CIFLOX 750 mg, comprimé pelliculé.;0;1
191;NORFLOXACINE 400 mg - NOROXINE 400 mg, comprimé enrobé;1;7
192;SPIRAMYCINE 0.75 M.UI + METRONIDAZOLE 125 mg - RODOGYL, comprimé pelliculé.;1;4
194;FLUCONAZOLE 150 mg - FLUCONAZOLE PFIZER 150 mg, gélule.;1;4
195;FLUCONAZOLE 50 mg - TRIFLUCAN 50 mg, gélule;1;7
196;FLUCONAZOLE 100 mg - TRIFLUCAN 100 mg, gélule;0;1
197;FLUCONAZOLE 200 mg - TRIFLUCAN 200 mg, gélule;1;3
198;ACICLOVIR 200 mg - ZOVIRAX 200 mg, comprimé;1;7
199;ACICLOVIR 800 mg - ZOVIRAX 800 mg, comprimé;1;2
200;TAMOXIFENE (CITRATE DE) équivalant à TAMOXIFENE 10 mg - NOLVADEX 10 mg, comprimé pelliculé.;1;3
201;TAMOXIFENE (CITRATE DE) équivalant à TAMOXIFENE 20 mg - NOLVADEX 20 mg, comprimé enrobé.;1;3
202;FLUTAMIDE 250 mg - EULEXINE 250 mg, comprimé;1;3
203;AZATHIOPRINE 50 mg - IMUREL 50 mg, comprimé sécable;1;2
206;DICLOFENAC SODIQUE 25 mg - VOLTARENE 25 mg, comprimé enrobé gastro-résistant.;1;3
207;DICLOFENAC SODIQUE 50 mg - VOLTARENE 50 mg, comprimé enrobé gastro-résistant;0;1
212;PIROXICAM 10 mg - FELDENE 10 mg, gélule;1;3
213;PIROXICAM 20 mg - FELDENE 20 mg, gélule;1;3
214;PIROXICAM 20 mg - FELDENE DISPERSIBLE 20 mg, comprimé sécable;1;3
216;PIROXICAM 20 mg - FELDENE 20 mg/1 ml, solution injectable en ampoule (IM).;1;2
217;IBUPROFENE 400 mg - BRUFEN 400 mg, comprimé enrobé.;1;5
221;NAPROXENE SODIQUE 550 mg - APRANAX 550 mg, comprimé pelliculé sécable;1;5
222;KETOPROFENE 50 mg - PROFENID 50 mg, gélule.;1;2
223;KETOPROFENE 100 mg - PROFENID 100 mg, comprimé pelliculé.;1;2
224;KETOPROFENE 200 mg - PROFENID LP 200 mg, comprimé enrobé à libération prolongée.;1;2
225;KETOPROFENE 200 mg - PROFENID LP 200 mg, gélule à libération prolongée.;1;2
227;ACIDE TIAPROFENIQUE 100 mg - SURGAM 100 mg, comprimé sécable;1;2
228;ACIDE TIAPROFENIQUE 200 mg - SURGAM 200 mg, comprimé sécable;0;1
229;KETOPROFENE 2,5 % - PROFENID 2,5 POUR CENT, gel en tube.;0;1
230;KETOPROFENE 2,5 % - KETUM 2,5 POUR CENT, gel.;1;3
231;BACLOFENE 10 mg - LIORESAL 10 mg, comprimé sécable;0;1
232;THIOCOLCHICOSIDE 4 mg - COLTRAMYL 4 mg, comprimé;1;10
233;THIOCOLCHICOSIDE 4 mg/2 ml - COLTRAMYL 4 mg/2 ml, solution injectable IM en ampoule.;0;1
234;TETRAZEPAM 50 mg - MYOLASTAN 50 mg, comprimé pelliculé sécable.;0;1
235;ALLOPURINOL 100 mg - ZYLORIC 100 mg, comprimé;1;12
236;ALLOPURINOL 200 mg - ZYLORIC 200 mg, comprimé;1;11
237;ALLOPURINOL 300 mg - ZYLORIC 300 mg, comprimé;1;6
242;TRAMADOL (CHLORHYDRATE DE) 50 mg - CONTRAMAL 50 mg, gélule - TOPALGIC 50 mg, gélule.;1;10
243;IBUPROFENE 200 mg - NUREFLEX 200 mg, comprimé enrobé.;0;1
244;IBUPROFENE 20 mg/ml - NUREFLEX 20 mg/ml ENFANTS ET NOURRISSONS, suspension buvable.;1;2
245;DIHYDROERGOTAMINE (MESILATE DE) 2 mg/ml - DIHYDROERGOTAMINE AMDIPHARM 2 mg/ml, solution buvable.;0;1
248;CARBAMAZEPINE 200 mg - TEGRETOL LP 200 mg, comprimé pelliculé sécable à libération prolongée;1;2
249;CARBAMAZEPINE 400 mg - TEGRETOL LP 400 mg, comprimé pelliculé sécable à libération prolongée;1;2
250;VALPROATE DE SODIUM 200 mg/ml - DEPAKINE 200 mg/ml, solution buvable;0;1
251;VALPROATE DE SODIUM 200 mg - DEPAKINE 200 mg, comprimé gastro-résistant;0;1
252;VALPROATE DE SODIUM 500 mg - DEPAKINE 500 mg, comprimé gastro-résistant;0;1
257;CLOZAPINE 25 mg - LEPONEX 25 mg, comprimé sécable.;1;2
258;CLOZAPINE 100 mg - LEPONEX 100 mg, comprimé sécable.;1;2
259;SULPIRIDE 50 mg - DOGMATIL 50 mg, gélule;1;4
260;SULPIRIDE 200 mg - DOGMATIL 200 mg, comprimé sécable;1;3
263;TIAPRIDE (CHLORHYDRATE DE) équivalant à TIAPRIDE 100 mg - TIAPRIDAL 100 mg, comprimé sécable.;0;1
264;AMISULPRIDE 100 mg - SOLIAN 100 mg, comprimé sécable;0;1
265;AMISULPRIDE 200 mg - SOLIAN 200 mg, comprimé sécable.;1;3
266;DIAZEPAM 2 mg - VALIUM ROCHE 2 mg, comprimé sécable;0;1
267;DIAZEPAM 5 mg - VALIUM ROCHE 5 mg, comprimé sécable;1;3
268;DIAZEPAM 10 mg -VALIUM ROCHE 10 mg, comprimé sécable.;0;1
269;LORAZEPAM 2,5 mg - TEMESTA 2,5 mg, comprimé sécable;1;3
270;BROMAZEPAM 6 mg - LEXOMIL 6 mg, comprimé quadrisécable.;1;7
271;ALPRAZOLAM 0,25 mg - XANAX 0,25 mg, comprimé sécable;1;6
272;ALPRAZOLAM 0,50 mg - XANAX 0,50 mg, comprimé sécable.;0;1
273;BUSPIRONE (CHLORHYDRATE DE) 10 mg - BUSPAR 10 mg, comprimé sécable;1;2
275;ZOPICLONE 7,5 mg - IMOVANE 7,5 mg, comprimé pelliculé sécable.;1;7
276;ZOLPIDEM (TARTRATE DE) 10 mg - STILNOX 10 mg, comprimé pelliculé sécable;1;2
277;CLOMIPRAMINE (CHLORHYDRATE DE) 10 mg - ANAFRANIL 10 mg, comprimé enrobé;1;2
278;CLOMIPRAMINE (CHLORHYDRATE DE) 25 mg - ANAFRANIL 25 mg, comprimé enrobé;1;3
279;CLOMIPRAMINE (CHLORHYDRATE DE) 75 mg - ANAFRANIL 75 mg, comprimé pelliculé sécable.;1;3
280;FLUOXETINE (CHLORHYDRATE DE) équivalant à FLUOXETINE 20 mg - PROZAC 20 mg, gélule.;1;15
281;FLUOXETINE (CHLORHYDRATE DE) équivalant à FLUOXETINE 20 mg - PROZAC 20 mg, comprimé dispersible sécable.;1;3
282;FLUOXETINE (CHLORHYDRATE DE) équivalant à FLUOXETINE 20 mg/5 ml - PROZAC 20 mg/5 ml, solution buvable en flacon.;1;4
283;CITALOPRAM (BROMHYDRATE DE) équivalant à CITALOPRAM 20 mg - SEROPRAM 20 mg, comprimé pelliculé sécable.;1;13
284;PAROXETINE (CHLORHYDRATE DE) équivalant à PAROXETINE 20 mg - DEROXAT 20 mg, comprimé pelliculé sécable.;0;1
285;FLUVOXAMINE (MALEATE DE) 50 mg - FLOXYFRAL 50 mg, comprimé pelliculé sécable.;1;3
286;FLUVOXAMINE (MALEATE DE) 100 mg - FLOXYFRAL 100 mg, comprimé pelliculé sécable.;0;1
288;MIANSERINE (CHLORHYDRATE DE) 10 mg - ATHYMIL 10 mg, comprimé pelliculé;1;6
289;MIANSERINE (CHLORHYDRATE DE) 30 mg - ATHYMIL 30 mg, comprimé pelliculé;1;2
290;MIANSERINE (CHLORHYDRATE DE) 60 mg - ATHYMIL 60 mg, comprimé pelliculé sécable;1;9
291;PIRACETAM 20 g/100 ml - NOOTROPYL 20 %, solution buvable.;1;2
292;PIRACETAM 400 mg - NOOTROPYL 400 mg, gélule;1;2
293;PIRACETAM 800 mg - NOOTROPYL 800 mg, comprimé pelliculé;1;2
294;BETAHISTINE (DICHLORHYDRATE DE) 8 mg - SERC 8 mg, comprimé.;1;5
295;PYRANTEL (EMBONATE DE) équivalant à PYRANTEL 125 mg/2,5 ml - COMBANTRIN 125 mg/2,5 ml, suspension buvable.;0;1
