CodeCIP7;Libelle_presentation;date_commercialisation;Agrément_collectivités ;Taux_remboursement;prix_min;Prix_max;difference_tarifiaire_entre_min_et_max;CodeCIS
2196792;plaquette(s) thermoformée(s) PVC (ACLAR RX) polytrifluorochloroéthylène aluminium de 30 comprimé(s);04/08/2015;oui;65%;9,17;10,19;1,02;60038468
3636684;30 récipient(s) unidose(s) polyéthylène de 0,4 ml;23/01/2006;oui;30%;2,92;3,94;1,02;60040469
4936394;plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s);25/04/2014;oui;65%;6,89;7,91;1,02;60041560
3798286;plaquette(s) PVC PVDC aluminium de 50 comprimé(s);01/10/2007;oui;65%;14,22;15,24;1,02;60043077
4162610;plaquette(s) PVC-Aluminium de 60 comprimé(s);12/09/2011;oui;65%;15,21;16,23;1,02;60044784
2744986;120 plaquette(s) PVC polyéthylène PVDC aluminium de 1 comprimé(s);06/01/2014;oui;100%;145,37;146,39;1,02;60044987
3020391;1 flacon en verre de 200 mL avec bague d’inviolabilité avec gobelet doseur de 15 mL;29/03/2021;oui;30%;1,87;2,89;1,02;60046529
3615564;1 flacon(s) polyéthylène haute densité (PEHD) avec fermeture de sécurité enfant de 28  comprimé(s);04/09/2006;oui;65%;24,67;25,69;1,02;60047182
3438412;3 flacon(s) compte-gouttes polyéthylène de 2,5  ml;04/06/2009;oui;65%;15,18;16,2;1,02;60047271
3833829;plaquette(s) thermoformée(s) PVC PVDC aluminium de 60 comprimé(s);26/12/2008;oui;30%;5,83;6,85;1,02;60048672
3733565;plaquette(s) aluminium de 30 comprimé(s);28/01/2008;oui;65%;3,75;4,77;1,02;60049895
3925833;plaquette(s) aluminium de 90 comprimé(s);16/11/2012;oui;65%;10,85;13,61;2,76;60049895
3618255;3 plaquette(s) PVC PVDC aluminium de 10 capsule(s);22/09/2003;oui;30%;16,58;17,6;1,02;60051234
3781819;plaquette(s) PVC PVDC de 30 comprimé(s);14/08/2007;oui;65%;12,95;13,97;1,02;60058008
3781831;plaquette(s) PVC PVDC de 90 comprimé(s);14/08/2007;oui;65%;36,66;39,42;2,76;60058008
3673828;plaquette(s) thermoformée(s) PVC-Aluminium de 30 comprimé(s);01/12/2005;oui;65%;3,64;4,66;1,02;60058378
3787503;plaquette(s) thermoformée(s) PVC-Aluminium de 90 comprimé(s);22/04/2021;oui;65%;10,53;13,29;2,76;60058378
4158809;film(s) thermosoudé(s) polyéthylène aluminium de 56 gélule(s);31/08/2012;oui;65%;5,97;6,99;1,02;60061171
3002284;84 plaquette(s) PVC-Aluminium de 1 gélule(s);12/02/2016;oui;65%;23,27;24,29;1,02;60061602
4900316;plaquette(s) polychlortrifluoroéthylène PVC-Aluminium de 30 comprimé(s);28/02/2020;oui;65%;14,49;15,51;1,02;60061709
4900317;plaquette(s) polychlortrifluoroéthylène PVC-Aluminium de 90 comprimé(s);23/03/2020;oui;65%;41,01;43,77;2,76;60061709
3897255;plaquette(s) PVC-Aluminium de 90 comprimé(s);25/02/2010;oui;65%;14,91;17,67;2,76;60065198
3908266;plaquette(s) PVC-Aluminium de 30 comprimé(s);25/02/2010;oui;65%;5,02;6,04;1,02;60065198
3007484;28 plaquette(s) prédécoupées unitaires PVC PVDC aluminium de 1 comprimé(s);07/09/2018;oui;65%;5,15;6,17;1,02;60068002
3010512;flacon(s) polypropylène de 28 comprimé(s);18/09/2018;oui;65%;5,15;6,17;1,02;60068002
3015704;plaquette(s) aluminium PVC PVDC de 56 gélule(s);04/11/2020;oui;65%;5,08;6,1;1,02;60068034
2186109;28 sachet(s)-dose(s) kraft polyéthylène basse densité (PEBD) aluminium P-A-M-éthylène (SURLYN);04/03/2013;oui;65%;9,32;10,34;1,02;60069339
3788431;plaquette(s) PVC aluminium de 28 comprimé(s);13/08/2007;oui;65%;3,06;4,08;1,02;60071190
3797499;plaquette(s) aluminium de 28 comprimé(s);01/01/2011;oui;65%;6,25;7,27;1,02;60071952
2217933;plaquette(s) PVC PVDC aluminium de 14 comprimé(s);03/10/2012;oui;30%;2,1;3,12;1,02;60073608
2217962;plaquette(s) PVC PVDC aluminium de 28 comprimé(s);03/10/2012;oui;30%;3,85;4,87;1,02;60073608
4900057;plaquette(s) thermoformée(s) PVC-Aluminium de 180 gélule(s);09/03/2016;oui;30%;45,41;46,43;1,02;60074432
4900058;plaquette(s) thermoformée(s) PVC-Aluminium de 60 gélule(s);17/03/2016;oui;30%;15,25;16,27;1,02;60074432
3882348;plaquette(s) PVC polyéthylène PVDC aluminium de 30 gélule(s);09/12/2008;oui;65%;4,99;6,01;1,02;60075192
3003295;plaquette(s) PVC aluminium de 84 gélule(s);04/02/2016;oui;65%;16,28;17,3;1,02;60075452
3529706;plaquette(s) PVC-Aluminium de 30 comprimé(s);27/11/2000;oui;65%;5,02;6,04;1,02;60077574
3529712;plaquette(s) PVC-Aluminium de 90 comprimé(s);23/04/2009;oui;65%;14,17;16,93;2,76;60077574
2781059;1 plaquette(s) PVC PVDC aluminium de 1 comprimé(s);03/06/2016;oui;65%;2,48;3,5;1,02;60078078
3006450;plaquette(s) PVC PVDC aluminium de 30 comprimé(s);03/06/2019;oui;65%;23,6;24,62;1,02;60078765
3006452;plaquette(s) PVC PVDC aluminium de 60 comprimé(s);03/06/2019;oui;65%;46,79;47,81;1,02;60078765
4900087;plaquette(s) thermoformée(s) PVC-Aluminium de 60 gélule(s);08/11/2016;oui;30%;15,25;16,27;1,02;60079721
3588117;film(s) thermosoudé(s) PVC polyéthylène de 30 suppositoire(s);28/03/2002;oui;65%;16,67;17,69;1,02;60080218
2194178;plaquette(s) PVC-Aluminium de 16 gélule(s);02/04/2013;oui;65%;1,07;2,09;1,02;60091086
2745968;plaquette(s) PVC polychlortrifluoroéthylène aluminium de 28 comprimé(s);21/01/2014;oui;65%;23,52;24,54;1,02;60093639
3847197;plaquette(s) PVC polyéthylène PVDC aluminium de 28 gélule(s);19/02/2009;oui;65%;1,91;2,93;1,02;60094125
3867403;plaquette(s) aluminium de 30 comprimé(s);27/04/2009;oui;65%;3,64;4,66;1,02;60095526
3867432;plaquette(s) aluminium de 90 comprimé(s);17/03/2021;oui;65%;10,53;13,29;2,76;60095526
2665643;plaquette(s) polyamide aluminium PVC-Aluminium de 28 comprimé(s);10/07/2015;oui;65%;4,07;5,09;1,02;60097203
3606163;film(s) thermosoudé(s) aluminium polyéthylène de 16 comprimé(s);24/08/2010;oui;65%;4,73;5,75;1,02;60099738
3606186;film(s) thermosoudé(s) aluminium polyéthylène de 24 comprimé(s);24/08/2010;oui;65%;5,89;6,91;1,02;60099738
3779248;plaquette(s) thermoformée(s) PVC-Aluminium de 90 comprimé(s);28/06/2007;oui;65%;26,86;27,88;1,02;60105162
3020769;plaquette(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s);03/01/2022;non;65%;6,39;7,41;1,02;60106862
3020770;plaquette(s) PVC polyéthylène PVDC aluminium de 90 comprimé(s);03/01/2022;non;65%;19,04;20,06;1,02;60106862
3006896;plaquette(s) PVC PVDC aluminium de 14 gélule(s);11/09/2018;oui;65%;3,64;4,66;1,02;60108518
3749891;plaquette(s) PVC-Aluminium de 28 comprimé(s);08/08/2007;oui;65%;16,71;17,73;1,02;60108678
3011875;30 plaquette(s) thermoformée(s) aluminium de 1 comprimé(s)(dose unitaire);12/11/2019;oui;65%;155,22;156,24;1,02;60110896
3593124;plaquette(s) thermoformée(s) PVC-Aluminium de 35 comprimé(s);14/01/2005;oui;65%;29,59;30,61;1,02;60111197
3674532;plaquette(s) aluminium de 28 comprimé(s);12/12/2005;oui;65%;3,42;4,44;1,02;60111813
3014723;plaquette(s) formée(s) à froid OPA : polyamide orienté aluminium PVC-Aluminium de 30 comprimé(s);26/07/2021;oui;65%;4,36;5,38;1,02;60113814
3014725;plaquette(s) formée(s) à froid OPA : polyamide orienté aluminium PVC-Aluminium de 90 comprimé(s);27/07/2021;oui;65%;12,81;15,57;2,76;60113814
3747165;plaquette(s) thermoformée(s) PVC-Aluminium de 30 comprimé(s);06/07/2006;oui;65%;2,55;3,57;1,02;60116447
3747194;plaquette(s) thermoformée(s) PVC-Aluminium de 90 comprimé(s);05/08/2008;oui;65%;6,67;9,43;2,76;60116447
2680890;1 pilulier(s) polypropylène de 30 comprimé(s);12/05/2015;oui;65%;3,64;4,66;1,02;60116810
2680915;3 pilulier(s) polypropylène de 30 comprimé(s);12/05/2015;oui;65%;10,53;13,29;2,76;60116810
3790959;plaquette(s) PVC PVDC aluminium de 28 comprimé(s);04/03/2010;oui;65%;1,67;2,69;1,02;60120709
2231399;plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s);13/05/2013;oui;65%;3,75;4,77;1,02;60122628
2231459;plaquette(s) thermoformée(s) PVC PVDC aluminium de 90 comprimé(s);13/05/2013;oui;65%;10,85;13,61;2,76;60122628
3008552;90 sachet(s) polytéréphtalate (PET) polyéthylène basse densité (PEBD) aluminium;29/05/2019;oui;65%;102,53;103,55;1,02;60122717
3920103;plaquette(s) PVC PVDC aluminium de 28 comprimé(s);20/09/2010;oui;30%;10,92;11,94;1,02;60123363
3021840;plaquette(s) aluminium OPA : polyamide orienté PVC-Aluminium de 30 comprimé(s);14/04/2021;oui;65%;6,42;7,44;1,02;60124472
3021841;plaquette(s) aluminium OPA : polyamide orienté PVC-Aluminium de 90 comprimé(s);14/04/2021;oui;65%;18,09;20,85;2,76;60124472
2245711;plaquette(s) aluminium de 30 comprimé(s);24/12/2014;oui;65%;7,93;8,95;1,02;60124999
3016419;plaquette(s) PVC-Aluminium de 25 comprimé(s);22/02/2021;oui;65%;8,94;9,96;1,02;60125777
2760382;28 plaquette(s) polyamide aluminium PVC de 1 comprimé(s);17/09/2015;oui;65%;17,42;18,44;1,02;60126594
3011083;plaquette(s) PVC PVDC aluminium de 30 comprimé(s);27/05/2020;oui;30%;7,48;8,5;1,02;60126982
3016539;plaquette(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s);03/07/2019;oui;30%;7,48;8,5;1,02;60128339
3659573;plaquette(s) aluminium PVC PVDC de 30 comprimé(s);05/04/2006;oui;65%;1,99;3,01;1,02;60129665
3002036;1 stylo prérempli de 0,35 ml avec seringue(s) en verre avec aiguille(s) avec tampon(s) alcoolisé(s);26/10/2016;oui;65%;16,54;17,56;1,02;60129957
3812112;1 flacon(s) pressurisé(s) aluminium de 120 dose(s) avec valve(s) doseuse(s) avec inhalateur(s) en plastique polypropylène;31/03/2011;oui;65%;31,35;32,37;1,02;60130062
2788759;plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s);19/04/2021;non;30%;22,39;23,41;1,02;60131132
3702381;1 flacon(s) en verre brun avec fermeture de sécurité enfant de 300 ml avec seringue(s) doseuse(s) de 10 ml;09/10/2006;oui;65%;53,52;54,54;1,02;60132330
3982759;1 flacon(s) en verre brun avec fermeture de sécurité enfant de 150 ml avec seringue(s) doseuse(s) de 3 ml;13/12/2010;oui;65%;26,97;27,99;1,02;60132330
3982765;1 flacon(s) en verre brun avec fermeture de sécurité enfant de 150 ml avec seringue(s) doseuse(s) de 1 ml;13/12/2010;oui;65%;26,97;27,99;1,02;60132330
4155805;plaquette(s) PVC-Aluminium de 12 comprimé(s);07/11/2011;oui;30%;1,71;2,73;1,02;60133432
3718620;plaquette(s) PVC polyéthylène PVDC aluminium de 30 gélule(s);23/07/2009;oui;30%;5,58;6,6;1,02;60133973
3592202;1 flacon(s) polyéthylène basse densité (PEBD) de 3  ml;22/04/2002;oui;65%;9,36;10,38;1,02;60135981
4950008;1 flacon(s) polyéthylène basse densité (PEBD) de 3 ml(Distributeur parallèle : Pharma Lab);22/02/2016;oui;65%;8,9;9,92;1,02;60135981
3002365;plaquette(s) aluminium de 28 comprimé(s);11/12/2015;oui;65%;17,42;18,44;1,02;60136439
2785117;plaquette(s) polyamide aluminium PVC-Aluminium de 14 comprimé(s);08/03/2017;oui;65%;2,58;3,6;1,02;60139563
2785146;plaquette(s) polyamide aluminium PVC-Aluminium de 28 comprimé(s);06/01/2017;oui;65%;4,81;5,83;1,02;60139563
3002699;plaquette(s) OPA : polyamide orienté aluminium PVC de 28 comprimé(s);13/04/2017;oui;65%;17,42;18,44;1,02;60140882
3017088;plaquettes transparentes PVC aluminium de 28 comprimés;25/04/2019;oui;65%;8,72;9,74;1,02;60141614
2802011;plaquette(s) PVC polychlortrifluoroéthylène aluminium de 28 comprimé(s);29/12/2015;oui;65%;12;13,02;1,02;60144464
3941683;plaquette(s) PVC polyéthylène PVDC aluminium de 90 comprimé(s);12/08/2010;oui;65%;11,5;14,26;2,76;60145580
3946829;plaquette(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s);13/09/2010;oui;65%;3,95;4,97;1,02;60145580
3022131;6 flacon(s) polyéthylène haute densité (PEHD) de 15 comprimé(s) (conditionnement multiple de 90 comprimés);02/07/2021;oui;65%;97,47;98,49;1,02;60148893
3008215;plaquette(s) PVC PVDC aluminium de 6 comprimé(s);07/11/2019;oui;65%;1,99;3,01;1,02;60151544
3008218;plaquette(s) PVC PVDC aluminium de 14 comprimé(s);07/11/2019;oui;65%;4,09;5,11;1,02;60151544
3617988;plaquette(s) PVC PVDC aluminium de 10 comprimé(s);31/07/2003;oui;65%;7,11;8,13;1,02;60151697
2672146;2 plaquette(s) PVC PVDC aluminium de 10 comprimé(s);24/06/2013;oui;65%;1,88;2,9;1,02;60152411
4927840;plaquette(s) aluminium de 90 comprimé(s);29/04/2011;oui;65%;6,27;7,29;1,02;60154017
4927917;plaquette(s) aluminium de 270 comprimé(s);01/09/2011;oui;65%;17,74;20,5;2,76;60154017
2769319;20 sachet(s) aluminium polyester polyéthylène de 15 ml (grand format);08/01/2015;oui;30%;2,58;3,6;1,02;60155329
3556206;plaquette(s) thermoformée(s) PVC-aluminium de 7 gélule(s);09/11/2001;oui;65%;1,27;2,29;1,02;60155788
3858829;plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s);02/08/2010;oui;100%;37,34;38,36;1,02;60156089
3014762;plaquette(s) polyamide aluminium PVC-Aluminium de 30 comprimé(s);14/11/2018;oui;65%;5,97;6,99;1,02;60156413
3014763;plaquette(s) polyamide aluminium PVC-Aluminium de 90 comprimé(s);14/11/2018;oui;65%;16,89;19,65;2,76;60156413
3833746;1 tube(s) aluminium de 50 g;09/04/2008;oui;30%;1,74;2,76;1,02;60158147
3739332;plaquette(s) PVC-Aluminium de 90 comprimé(s);22/10/2008;oui;65%;7,39;10,15;2,76;60159128
3879004;plaquette(s) PVC-Aluminium de 30 comprimé(s);12/03/2010;oui;65%;2,78;3,8;1,02;60159128
3007888;plaquette(s) OPA : polyyamide orienté aluminium PVC de 56 comprimé(s);26/03/2018;oui;65%;14,62;15,64;1,02;60160479
3012152;flacon(s) polyéthylène haute densité (PEHD) de 180 comprimé(s);19/04/2018;oui;65%;67,67;68,69;1,02;60160835
3615386;plaquette(s) PVC-Aluminium de 30 comprimé(s);29/09/2003;oui;65%;5,29;6,31;1,02;60161143
3690867;plaquette(s) PVC-Aluminium de 90 comprimé(s);29/01/2007;oui;65%;15,76;18,52;2,76;60161143
3002735;plaquette(s) PVC-Aluminium de 56 gélule(s);07/04/2016;oui;65%;4,55;5,57;1,02;60165394
3002736;plaquette(s) PVC-Aluminium de 84 gélule(s);07/04/2016;oui;65%;6,7;7,72;1,02;60165394
4181613;plaquette(s) PVC PVDC aluminium de 30 comprimé(s);23/03/2012;oui;65%;5,33;6,35;1,02;60165857
4181636;plaquette(s) PVC PVDC aluminium de 90 comprimé(s);23/03/2012;oui;65%;15,87;18,63;2,76;60165857
2740505;plaquette(s) polyamide aluminium PVC-Aluminium de 30 comprimé(s);08/10/2013;oui;65%;3,75;4,77;1,02;60168465
2740534;plaquette(s) polyamide aluminium PVC-Aluminium de 90 comprimé(s);08/10/2013;oui;65%;10,85;13,61;2,76;60168465
3613335;1 pilulier(s) polypropylène de 16  comprimé(s);01/09/2003;oui;65%;1,07;2,09;1,02;60170046
3966890;plaquette(s) PVC-Aluminium polyamide aluminium de 28 comprimé(s);29/09/2011;oui;65%;9,66;10,68;1,02;60170224
3658177;10 récipient(s) unidose(s) polyéthylène de 2 ml;01/02/2006;oui;65%;3,74;4,76;1,02;60175716
3794383;plaquette(s) PVC PVDC aluminium de 30 comprimé(s);01/09/2010;oui;65%;7,2;8,22;1,02;60177044
3010521;1 flacon(s) polypropylène de 5 mL avec embout polyéthylène basse densité (PEBD). Chaque flacon contient 2,5 mL de solution. Chaque flacon est présenté dans un sachet.;29/08/2019;oui;65%;7,25;8,27;1,02;60178609
3022014;10plaquettes unitaires prédécoupées polyamide aluminium PVC-Aluminium de 1 comprimé(s);04/08/2021;non;65%;31,53;32,55;1,02;60179839
3022015;30 plaquettes unitaires prédécoupées polyamide aluminium PVC-Aluminium de 1 comprimé(s);04/08/2021;non;65%;93,76;94,78;1,02;60179839
3683465;plaquette(s) aluminium de 30 comprimé(s);12/01/2006;oui;65%;3,75;4,77;1,02;60180720
3731098;plaquette(s) aluminium de 90 comprimé(s);20/05/2008;oui;65%;10,85;13,61;2,76;60180720
3700809;plaquette(s) aluminium de 30 comprimé(s);10/01/2006;oui;65%;3,75;4,77;1,02;60185201
3700844;pilulier(s) polyéthylène haute densité (PEHD) de 30 comprimé(s);14/04/2014;oui;65%;3,75;4,77;1,02;60185201
3730064;plaquette(s) aluminium de 90 comprimé(s);02/05/2008;oui;65%;10,85;13,61;2,76;60185201
2756713;plaquette(s) PVC PVDC aluminium de 14 comprimé(s);17/02/2014;oui;15%;1,36;2,38;1,02;60186584
4900006;1 pilulier(s) polypropylène de 30 comprimé(s);29/07/2015;oui;65%;8,67;9,69;1,02;60187348
4900007;3 pilulier(s) polypropylène de 30 comprimé(s);29/07/2015;oui;65%;24,59;27,35;2,76;60187348
3907338;plaquette(s) PVC PVDC aluminium de 30 gélule(s);29/06/2010;oui;65%;5,01;6,03;1,02;60187501
3907344;plaquette(s) PVC PVDC aluminium de 90 gélule(s);24/12/2012;oui;65%;14,89;17,65;2,76;60187501
3647676;plaquette(s) thermoformée(s) PVC-Aluminium de 30 comprimé(s);08/12/2004;oui;65%;1,85;2,87;1,02;60192594
3016721;plaquette(s) PVC PVDC aluminium de 1 comprimé(s);08/06/2020;oui;65%;11,3;12,32;1,02;60195010
3487273;plaquette(s) PVC-Aluminium de 30 comprimé(s);15/03/2000;oui;100%;40,59;41,61;1,02;60195398
3594862;1 flacon(s) en verre de 10,5 g avec seringue pour administration orale polyéthylène polystyrène;30/09/2002;oui;65%;4,41;5,43;1,02;60196176
2784750;plaquette(s) polyamide aluminium PVC-Aluminium de 28 comprimé(s);09/02/2015;oui;65%;5,15;6,17;1,02;60197011
3772134;30 sachet(s)-dose(s) copolymère d'éthylène aluminium polyéthylène basse densité (PEBD) papier polyéthylène de 1 dispositif(s);10/01/2011;oui;65%;87,19;88,21;1,02;60200500
4900089;plaquette(s) thermoformée(s) PVC-Aluminium de 60 gélule(s);21/11/2016;oui;30%;15,25;16,27;1,02;60200678
4900090;plaquette(s) thermoformée(s) PVC-Aluminium de 180 gélule(s);27/03/2017;oui;30%;45,41;46,43;1,02;60200678
3001212;6 seringue(s) préremplie(s) en verre de 0,4 ml avec dispositif(s) de sécurité de l'aiguille;13/03/2017;oui;65%;131,59;132,61;1,02;60200938
3012507;plaquette(s) PVC PVDC aluminium de 30 comprimé(s);20/04/2018;oui;65%;37,6;38,62;1,02;60203418
3001814;84 plaquette(s) thermoformée(s) PVC PVDC aluminium de 1 gélule(s);27/11/2015;oui;65%;11,14;12,16;1,02;60203546
3819781;plaquette(s) thermoformée(s) PVC-Aluminium de 7 comprimé(s);04/11/2008;oui;65%;8,84;9,86;1,02;60204573
4919013;plaquette(s) PVC PVDC aluminium de 30 comprimé(s);08/07/2011;oui;100%;45,85;46,87;1,02;60207459
3537864;plaquette(s) thermoformée(s) PVC-aluminium de 28 comprimé(s);01/07/2000;oui;65%;2,04;3,06;1,02;60208251
4995698;plaquette(s) formée(s) à froid polyamide aluminium PVC-Aluminium de 90 comprimé(s);22/06/2011;oui;65%;6,27;7,29;1,02;60209531
3564602;1 flacon(s) polyéthylène de 60 comprimé(s);06/07/2005;oui;65%;5,29;6,31;1,02;60210697
3792007;plaquette(s) thermoformée(s) PVC PVDC aluminium de 100 comprimé(s);24/10/2008;oui;100%;20,05;21,07;1,02;60211183
3631899;plaquette(s) aluminium PVC PVDC de 28 comprimé(s);18/09/2007;oui;65%;3,42;4,44;1,02;60214350
2207900;plaquette(s) PVC polyamide aluminium PVC-Aluminium de 28 comprimé(s);24/03/2016;oui;65%;17,42;18,44;1,02;60217108
3795394;5 flacon(s) en verre suremballée(s)/surpochée(s) un film plastique (Onco-Tain®) de 2 ml;30/10/2007;oui;100%;74,21;75,23;1,02;60219803
3723242;plaquette(s) PVC-Aluminium de 30 comprimé(s);31/07/2006;oui;65%;34,85;35,87;1,02;60224316
3918589;plaquette(s) PVC-Aluminium de 30 gélule(s);02/10/2012;oui;65%;8,88;9,9;1,02;60225681
2682713;plaquette(s) aluminium de 28 comprimé(s);18/11/2013;oui;65%;17,42;18,44;1,02;60226979
2244870;plaquette(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s);24/01/2020;oui;65%;3,64;4,66;1,02;60232359
2244887;plaquette(s) PVC polyéthylène PVDC aluminium de 90 comprimé(s);24/01/2020;oui;65%;10,53;13,29;2,76;60232359
3552898;1 tube(s) aluminium verni de 60 g;20/01/2014;oui;30%;1,98;3;1,02;60233913
3595583;plaquette(s) thermoformée(s) PVC-aluminium de 8  comprimé(s);02/01/2003;oui;65%;1,07;2,09;1,02;60234100
3882704;plaquette(s) PVC PVDC aluminium de 30 gélule(s);19/06/2018;oui;65%;4,99;6,01;1,02;60234214
3556755;1 flacon(s) en verre de 500 mg - 1 ampoule(s) en verre de 5 ml;09/07/2001;oui;65%;3,48;4,5;1,02;60235330
4900405;1 pilulier(s) polypropylène de 30 comprimé(s);08/09/2021;non;65%;8,67;9,69;1,02;60236546
4900406;1 pilulier(s) polypropylène de 90 comprimé(s);08/09/2021;non;65%;24,59;27,35;2,76;60236546
3908059;plaquette(s) aluminium de 14 comprimé(s);01/12/2020;oui;65%;2,7;3,72;1,02;60238853
3908071;plaquette(s) aluminium de 28 comprimé(s);12/09/2016;oui;65%;5,03;6,05;1,02;60238853
3004003;1 flacon(s) pressurisé(s) aluminium de 120 dose(s) avec valve(s) doseuse(s) avec inhalateur(s) polypropylène;03/10/2016;oui;65%;31,35;32,37;1,02;60241874
3658208;25 flacon(s) en verre de 1000000 UI;30/09/2000;oui;65%;23,7;24,72;1,02;60243544
2774987;plaquette(s) aluminium de 28 comprimé(s);15/07/2015;oui;65%;5,15;6,17;1,02;60247432
2798539;plaquette(s) PVC PVDC aluminium de 60 comprimé(s);20/09/2021;oui;65%;22,39;23,41;1,02;60248000
3012020;1 seringue(s) préremplie(s) en verre de 0,4 ml avec 1 tampon alcoolisé;12/11/2019;oui;65%;10,96;11,98;1,02;60250567
3011289;plaquette(s) aluminium de 30 comprimé(s);05/01/2018;oui;65%;4,98;6;1,02;60251135
3011290;plaquette(s) aluminium de 90 comprimé(s);05/01/2018;oui;65%;14,75;17,51;2,76;60251135
