CodeCIS;Denomination_medicament;Forme_pharmaceutique;Voie_administration;Type_procédure_AMM;Date_AMM ;Titulaire(s)
69773711;ACETICUM ACIDUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);18/09/2013; BOIRON
68976484;ACETICUM ACIDUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);18/09/2013; LEHNING
66767379;ACETONUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);18/09/2013; BOIRON
61736892;ACONITUM FEROX BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);23/07/2010; BOIRON
64692465;ACONITUM NAPELLUS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);05/11/2010; BOIRON
69203615;ACONITUM NAPELLUS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);26/10/2010; LEHNING
65090198;ACTAEA RACEMOSA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);03/01/2008; BOIRON
69255099;ACTAEA RACEMOSA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);03/01/2008; LEHNING
68185160;ACTAEA SPICATA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);23/02/2016; BOIRON
69330705;ACTAEA SPICATA LEHNING, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"orale;sublinguale";Enreg homéo (Proc. Nat.);23/02/2016; LEHNING
63359632;ADONIS VERNALIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);05/01/2009; BOIRON
60351662;ADONIS VERNALIS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);05/01/2009; LEHNING
66305127;ADRENALINUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);08/08/2013; BOIRON
66800110;ADRENALINUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);08/08/2013; LEHNING
67822622;ADULAIRE BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);03/11/2020; BOIRON
63869208;AESCULUS GLABRA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);21/09/2012; BOIRON
69543062;AESCULUS HIPPOCASTANUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);08/08/2013; BOIRON
62620175;AESCULUS HIPPOCASTANUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);08/08/2013; LEHNING
60955709;AETHIOPS MERCURIALIS MINERALIS BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);29/12/2009; BOIRON
68930647;AETHIOPS MERCURIALIS MINERALIS LEHNING, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);29/12/2009; LEHNING
66067715;AETHUSA CYNAPIUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);08/08/2013; BOIRON
61282849;AETHUSA CYNAPIUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);08/08/2013; LEHNING
67717450;AGARICUS BULBOSUS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);23/07/2010; BOIRON
62313404;AGARICUS BULBOSUS LEHNING, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);23/07/2010; LEHNING
68786104;AGARICUS MUSCARIUS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);26/10/2010; BOIRON
65062366;AGARICUS MUSCARIUS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);23/07/2010; LEHNING
69061404;AGAVE AMERICANA BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);23/02/2016; BOIRON
60386574;AGNUS CASTUS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);21/01/2013; BOIRON
68820332;AGNUS CASTUS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);26/12/2012; LEHNING
68775684;AGRAPHIS NUTANS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);30/12/2010; BOIRON
61825622;AGRAPHIS NUTANS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);06/04/2011; LEHNING
62336157;AGRIMONIA EUPATORIA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);15/03/2013; BOIRON
61793701;AILANTHUS GLANDULOSA BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);15/03/2013; BOIRON
63537775;AILANTHUS GLANDULOSA LEHNING, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);15/03/2013; LEHNING
61787068;ALCHEMILLA VULGARIS BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);19/06/2012; BOIRON
63058682;ALDOSTERONE BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);21/05/2013; BOIRON
68708881;ALETRIS FARINOSA BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);12/04/2012; BOIRON
69139600;ALETRIS FARINOSA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);12/04/2012; LEHNING
61073504;ALFALFA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);05/01/2009; BOIRON
63279823;ALFALFA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);05/01/2009; LEHNING
60881995;ALLIUM CEPA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);14/02/2011; BOIRON
62398493;ALLIUM CEPA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);06/04/2011; LEHNING
62043268;ALLIUM SATIVUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);14/02/2011; BOIRON
64257445;ALLIUM SATIVUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);06/04/2011; LEHNING
62138435;ALLIUM URSINUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);21/05/2013; BOIRON
64659230;ALLOXANUM BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);08/11/2017; BOIRON
63830956;ALNUS GLUTINOSA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);17/01/2020; BOIRON
63211078;ALOE BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);12/04/2012; BOIRON
60671712;ALOE LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);12/04/2012; LEHNING
67859663;ALTHAEA OFFICINALIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);21/05/2013; BOIRON
66882748;ALUMINA BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);25/03/2010; BOIRON
65126502;ALUMINA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);25/03/2010; LEHNING
63281856;AMBRA GRISEA BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);17/09/2019; BOIRON
66983925;AMBRA GRISEA LEHNING, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);05/04/2019; LEHNING
67385902;AMBROSIA ARTEMISIAEFOLIA BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);21/12/2015; BOIRON
67737264;AMMI VISNAGA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);18/09/2013; BOIRON
63052416;AMMONIUM CARBONICUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);21/05/2013; BOIRON
66441013;AMMONIUM CARBONICUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);14/05/2013; LEHNING
66064765;AMMONIUM MURIATICUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);05/01/2009; BOIRON
65384417;AMMONIUM MURIATICUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);05/01/2009; LEHNING
69578234;AMMONIUM PHOSPHORICUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);05/10/2011; BOIRON
61558532;AMMONIUM PHOSPHORICUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);05/10/2011; LEHNING
63727269;AMPELOPSIS QUINQUEFOLIA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);13/08/2013; BOIRON
61380695;AMYGDALES BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);25/01/2021; BOIRON
60121234;AMYLIUM NITROSUM BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);05/01/2009; BOIRON
66324412;AMYLIUM NITROSUM LEHNING, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);05/01/2009; LEHNING
64248962;ANACARDIUM OCCIDENTALE BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);13/08/2013; BOIRON
64726978;ANACARDIUM ORIENTALE BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);03/11/2009; BOIRON
69015613;ANACARDIUM ORIENTALE LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);03/11/2009; LEHNING
68758507;ANAGALLIS ARVENSIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);11/02/2011; BOIRON
66902204;ANAGALLIS ARVENSIS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);27/06/2011; LEHNING
61545645;ANANTHERUM MURICATUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);13/08/2013; BOIRON
65522900;ANGELICA ARCHANGELICA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);14/08/2013; BOIRON
62443351;ANGELICA ARCHANGELICA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);01/07/2013; LEHNING
63060231;ANGELICA SYLVESTRIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);01/08/2011; BOIRON
63482001;ANGUSTURA VERA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);11/02/2011; BOIRON
66920800;ANGUSTURA VERA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);27/06/2011; LEHNING
64009485;ANISUM STELLATUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);13/08/2013; BOIRON
63206024;ANTHEMIS NOBILIS BOIRON, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);16/11/2017; BOIRON
64796752;ANTHRACINUM BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);27/05/2020; BOIRON
67934913;ANTIMONIUM ARSENICOSUM BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);23/08/2017; BOIRON
63362984;ANTIMONIUM CRUDUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);23/07/2010; BOIRON
64947930;ANTIMONIUM CRUDUM LEHNING, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);23/07/2010; LEHNING
64926911;ANTIMONIUM IODATUM BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);01/08/2011; BOIRON
63459294;ANTIMONIUM METALLICUM BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);18/09/2013; BOIRON
69967680;ANTIMONIUM SULFURATUM AUREUM BOIRON, degré de dilution compris entre 3CH à 30CH et 5DH à 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);10/10/2016; BOIRON
68159315;ANTIMONIUM TARTARICUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);03/11/2009; BOIRON
68819013;ANTIMONIUM TARTARICUM LEHNING, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);03/11/2009; LEHNING
68724387;APIS MELLIFICA BOIRON, degré de dilution compris entre 7CH et 30CH ou entre 14DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);03/10/2019; BOIRON
60158193;APIS MELLIFICA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);08/04/2019; LEHNING
63585460;APIUM DULCE BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);03/04/2015; BOIRON
68620399;APIUM GRAVEOLENS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);19/09/2013; BOIRON
62594218;APOCYNUM CANNABINUM BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);03/04/2015; BOIRON
60623984;AQUA MARINA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);19/09/2013; BOIRON
